GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Weekly Working Hours,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Type,Value
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Estimated Population,7600
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Income Before Tax Standard Error,517
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Median Income Before Tax,95100
Combined,GMS,England,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Sample Count,4300
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Expenses,183900
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,285700
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,101800
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Estimated Population,21350
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,285
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Median Income Before Tax,94700
Combined,GMS,England,All,All,All,All,All,All,All,,,,,Sample Count,12000
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Expenses,187100
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Gross Earnings,285600
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Income Before Tax,98500
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Estimated Population,2350
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Income Before Tax Standard Error,907
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Median Income Before Tax,92500
Combined,GMS,England,All,All,All,All,All,"Fewer than 5,000",All,,,,,Sample Count,1350
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Expenses,204100
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Gross Earnings,309300
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Average Tot Income Before Tax,105300
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Estimated Population,2750
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Income Before Tax Standard Error,880
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Median Income Before Tax,99600
Combined,GMS,England,All,All,All,All,East of England,All,All,,,,,Sample Count,1500
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Expenses,175900
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Gross Earnings,277600
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Average Tot Income Before Tax,101600
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Estimated Population,2600
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Income Before Tax Standard Error,969
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Median Income Before Tax,90200
Combined,GMS,England,All,All,All,All,London,All,All,,,,,Sample Count,1450
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Expenses,191300
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Gross Earnings,297400
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Average Tot Income Before Tax,106100
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Estimated Population,5150
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Income Before Tax Standard Error,675
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Median Income Before Tax,98000
Combined,GMS,England,All,All,All,All,Midlands,All,All,,,,,Sample Count,2900
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Expenses,182900
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Gross Earnings,282400
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Average Tot Income Before Tax,99500
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Estimated Population,2650
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Income Before Tax Standard Error,821
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Median Income Before Tax,94000
Combined,GMS,England,All,All,All,All,North East and Yorkshire,All,All,,,,,Sample Count,1500
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Expenses,179300
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Gross Earnings,285000
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Average Tot Income Before Tax,105700
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Estimated Population,2900
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Income Before Tax Standard Error,854
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Median Income Before Tax,100100
Combined,GMS,England,All,All,All,All,North West,All,All,,,,,Sample Count,1650
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Expenses,172500
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Gross Earnings,270900
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Average Tot Income Before Tax,98400
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Estimated Population,3800
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Income Before Tax Standard Error,723
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Median Income Before Tax,90900
Combined,GMS,England,All,All,All,All,South East of England,All,All,,,,,Sample Count,2100
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Expenses,174500
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Gross Earnings,261000
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Average Tot Income Before Tax,86400
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Estimated Population,1500
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Income Before Tax Standard Error,908
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Median Income Before Tax,81500
Combined,GMS,England,All,All,All,All,South West of England,All,All,,,,,Sample Count,850
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Expenses,222800
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Gross Earnings,326600
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Average Tot Income Before Tax,103800
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Estimated Population,4200
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Income Before Tax Standard Error,739
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Median Income Before Tax,96100
Combined,GMS,England,All,All,All,Rural,All,All,All,,,,,Sample Count,2250
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Expenses,174400
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Gross Earnings,275700
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Average Tot Income Before Tax,101300
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Estimated Population,17200
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Income Before Tax Standard Error,321
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Median Income Before Tax,94400
Combined,GMS,England,All,All,All,Urban,All,All,All,,,,,Sample Count,9700
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Average Tot Expenses,72000
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Average Tot Gross Earnings,141900
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Average Tot Income Before Tax,69900
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Estimated Population,4100
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Income Before Tax Standard Error,495
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Median Income Before Tax,63300
Combined,GMS,England,All,Female,<40,All,All,All,All,,,,,Sample Count,2050
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Expenses,157500
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,246000
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,88500
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Estimated Population,4200
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,548
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Median Income Before Tax,83900
Combined,GMS,England,All,Female,>=40<50,All,All,All,All,,,,,Sample Count,2400
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Average Tot Expenses,191700
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,286800
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Average Tot Income Before Tax,95100
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Estimated Population,2850
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Income Before Tax Standard Error,677
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Median Income Before Tax,90100
Combined,GMS,England,All,Female,>=50<60,All,All,All,All,,,,,Sample Count,1650
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Average Tot Expenses,180400
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Average Tot Gross Earnings,276800
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Average Tot Income Before Tax,96400
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Estimated Population,500
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Income Before Tax Standard Error,2123
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Median Income Before Tax,85500
Combined,GMS,England,All,Female,>=60,All,All,All,All,,,,,Sample Count,300
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Average Tot Expenses,136900
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Average Tot Gross Earnings,220800
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Average Tot Income Before Tax,83900
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Estimated Population,11650
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Income Before Tax Standard Error,323
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Median Income Before Tax,77200
Combined,GMS,England,All,Female,All,All,All,All,All,,,,,Sample Count,6400
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Average Tot Expenses,160900
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Average Tot Gross Earnings,266400
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Average Tot Income Before Tax,105500
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Estimated Population,2100
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Income Before Tax Standard Error,836
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Median Income Before Tax,100900
Combined,GMS,England,All,Male,<40,All,All,All,All,,,,,Sample Count,1150
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Average Tot Expenses,262500
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,390900
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,128400
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Estimated Population,3150
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,759
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Median Income Before Tax,124100
Combined,GMS,England,All,Male,>=40<50,All,All,All,All,,,,,Sample Count,1850
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Average Tot Expenses,277900
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,410400
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Average Tot Income Before Tax,132600
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Estimated Population,3200
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Income Before Tax Standard Error,873
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Median Income Before Tax,125100
Combined,GMS,England,All,Male,>=50<60,All,All,All,All,,,,,Sample Count,1850
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Average Tot Expenses,220500
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Average Tot Gross Earnings,336600
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Average Tot Income Before Tax,116100
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Estimated Population,1250
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Income Before Tax Standard Error,1609
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Median Income Before Tax,105300
Combined,GMS,England,All,Male,>=60,All,All,All,All,,,,,Sample Count,750
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Average Tot Expenses,240400
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Average Tot Gross Earnings,363700
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Average Tot Income Before Tax,123300
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Estimated Population,9700
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Income Before Tax Standard Error,468
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Median Income Before Tax,117700
Combined,GMS,England,All,Male,All,All,All,All,All,,,,,Sample Count,5600
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Average Tot Expenses,86500
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Average Tot Gross Earnings,166000
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Average Tot Income Before Tax,79500
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Estimated Population,450
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Income Before Tax Standard Error,1020
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Median Income Before Tax,78100
Combined,GMS,Northern Ireland,All,All,<40,All,All,All,All,,,,,Sample Count,300
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Average Tot Expenses,118600
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,212300
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,93700
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Estimated Population,450
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,1012
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Median Income Before Tax,93300
Combined,GMS,Northern Ireland,All,All,>=40<50,All,All,All,All,,,,,Sample Count,350
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Average Tot Expenses,132300
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,243900
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Average Tot Income Before Tax,111600
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Estimated Population,350
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Income Before Tax Standard Error,1298
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Median Income Before Tax,105500
Combined,GMS,Northern Ireland,All,All,>=50<60,All,All,All,All,,,,,Sample Count,250
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Average Tot Expenses,122000
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Average Tot Gross Earnings,216700
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Average Tot Income Before Tax,94700
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Estimated Population,100
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Income Before Tax Standard Error,2387
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Median Income Before Tax,89900
Combined,GMS,Northern Ireland,All,All,>=60,All,All,All,All,,,,,Sample Count,50
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Expenses,117300
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Gross Earnings,216300
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Average Tot Income Before Tax,99100
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Estimated Population,200
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Income Before Tax Standard Error,1677
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Median Income Before Tax,95200
Combined,GMS,Northern Ireland,All,All,All,All,All,"10,000 to fewer than 15,000",All,,,,,Sample Count,150
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Expenses,109400
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Gross Earnings,203900
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Average Tot Income Before Tax,94400
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Estimated Population,750
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Income Before Tax Standard Error,846
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Median Income Before Tax,92400
Combined,GMS,Northern Ireland,All,All,All,All,All,"5,000 to fewer than 10,000",All,,,,,Sample Count,550
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Average Tot Expenses,111400
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Average Tot Gross Earnings,205000
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Average Tot Income Before Tax,93600
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Estimated Population,1300
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Income Before Tax Standard Error,671
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Median Income Before Tax,91000
Combined,GMS,Northern Ireland,All,All,All,All,All,All,All,,,,,Sample Count,950
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Expenses,112500
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Gross Earnings,199900
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Average Tot Income Before Tax,87400
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Estimated Population,300
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Income Before Tax Standard Error,1433
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Median Income Before Tax,82000
Combined,GMS,Northern Ireland,All,All,All,All,All,"Fewer than 5,000",All,,,,,Sample Count,250
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Average Tot Expenses,112700
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Average Tot Gross Earnings,209100
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Average Tot Income Before Tax,96300
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Estimated Population,350
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Income Before Tax Standard Error,1522
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Median Income Before Tax,95800
Combined,GMS,Northern Ireland,All,All,All,Rural,All,All,All,,,,,Sample Count,250
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Average Tot Expenses,111000
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Average Tot Gross Earnings,203600
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Average Tot Income Before Tax,92600
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Estimated Population,1000
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Income Before Tax Standard Error,743
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Median Income Before Tax,90000
Combined,GMS,Northern Ireland,All,All,All,Urban,All,All,All,,,,,Sample Count,750
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Average Tot Expenses,76400
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Average Tot Gross Earnings,148100
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Average Tot Income Before Tax,71700
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Estimated Population,300
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Income Before Tax Standard Error,1114
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Median Income Before Tax,70100
Combined,GMS,Northern Ireland,All,Female,<40,All,All,All,All,,,,,Sample Count,200
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Expenses,102000
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Gross Earnings,184200
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Average Tot Income Before Tax,82300
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Estimated Population,250
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Income Before Tax Standard Error,1215
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Median Income Before Tax,80900
Combined,GMS,Northern Ireland,All,Female,>=40<50,All,All,All,All,,,,,Sample Count,200
Combined,GMS,Northern Ireland,All,Female,>=50<60,All,All,All,All,,,,,Average Tot Expenses,110400
Combined,GMS,Northern Ireland,All,Female,>=50<60,All,All,All,All,,,,,Average Tot Gross Earnings,205600
