GP_Type,Contract_Type,Country,Practice_Type,Gender,Age,Rurality,Region,Practice_Registered_Patients,Range_of_Gross_Earnings_from_Self_Employment_£,Range_of_Total_Expenses_from_Self_Employment_£,Range_of_Income_Before_Tax_from_Self_Employment_£,Range_of_Total_Income_Before_Tax_£,Type,Value
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Average Tot Income Before Tax,100600
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Estimated Population,4850
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Income Before Tax Standard Error,672
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Median Income Before Tax,94400
Combined,GMS,UK,All,All,All,All,Midlands,All,,,,,Sample Count,2750
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Average Tot Expenses,167000
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Average Tot Gross Earnings,259100
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Average Tot Income Before Tax,92100
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Estimated Population,2550
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Income Before Tax Standard Error,771
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Median Income Before Tax,87600
Combined,GMS,UK,All,All,All,All,North East and Yorkshire,All,,,,,Sample Count,1450
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Average Tot Expenses,179900
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Average Tot Gross Earnings,279700
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Average Tot Income Before Tax,99800
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Estimated Population,1650
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Income Before Tax Standard Error,1051
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Median Income Before Tax,95900
Combined,GMS,UK,All,All,All,All,North Midlands,All,,,,,Sample Count,900
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Average Tot Expenses,159800
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Average Tot Gross Earnings,260100
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Average Tot Income Before Tax,100300
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Estimated Population,2850
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Income Before Tax Standard Error,791
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Median Income Before Tax,96700
Combined,GMS,UK,All,All,All,All,North West,All,,,,,Sample Count,1600
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Average Tot Expenses,167600
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Average Tot Gross Earnings,262500
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Average Tot Income Before Tax,94900
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Estimated Population,4250
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Income Before Tax Standard Error,669
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Median Income Before Tax,88800
Combined,GMS,UK,All,All,All,All,South East of England,All,,,,,Sample Count,2400
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Average Tot Expenses,153100
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Average Tot Gross Earnings,235900
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Average Tot Income Before Tax,82800
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Estimated Population,650
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Income Before Tax Standard Error,1282
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Median Income Before Tax,79600
Combined,GMS,UK,All,All,All,All,South West North,All,,,,,Sample Count,350
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Average Tot Expenses,165700
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Average Tot Gross Earnings,249300
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Average Tot Income Before Tax,83700
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Estimated Population,1400
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Income Before Tax Standard Error,873
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Median Income Before Tax,82600
Combined,GMS,UK,All,All,All,All,South West of England,All,,,,,Sample Count,750
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Average Tot Expenses,176900
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Average Tot Gross Earnings,261300
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Average Tot Income Before Tax,84500
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Estimated Population,750
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Income Before Tax Standard Error,1204
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Median Income Before Tax,84400
Combined,GMS,UK,All,All,All,All,South West South,All,,,,,Sample Count,400
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Average Tot Expenses,160900
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Average Tot Gross Earnings,255600
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Average Tot Income Before Tax,94700
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Estimated Population,2050
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Income Before Tax Standard Error,1012
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Median Income Before Tax,87500
Combined,GMS,UK,All,All,All,All,West Midlands,All,,,,,Sample Count,1150
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Average Tot Expenses,181200
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Average Tot Gross Earnings,272200
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Average Tot Income Before Tax,91000
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Estimated Population,1150
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Income Before Tax Standard Error,1117
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Median Income Before Tax,86100
Combined,GMS,UK,All,All,All,All,Yorkshire & Humber,All,,,,,Sample Count,650
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Average Tot Expenses,171200
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Average Tot Gross Earnings,268300
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Average Tot Income Before Tax,97100
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Estimated Population,7000
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Income Before Tax Standard Error,472
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Median Income Before Tax,91900
Combined,GMS,UK,All,All,All,Rural,All,All,,,,,Sample Count,4100
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Average Tot Expenses,153300
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Average Tot Gross Earnings,247600
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Average Tot Income Before Tax,94400
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Estimated Population,20250
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Income Before Tax Standard Error,263
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Median Income Before Tax,89200
Combined,GMS,UK,All,All,All,Urban,All,All,,,,,Sample Count,11750
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Average Tot Expenses,135000
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Average Tot Gross Earnings,215800
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Average Tot Income Before Tax,80900
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Estimated Population,5150
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Income Before Tax Standard Error,421
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Median Income Before Tax,77400
Combined,GMS,UK,All,Female,Age 40 to 49,All,All,All,,,,,Sample Count,3050
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Average Tot Expenses,155100
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Average Tot Gross Earnings,242700
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Average Tot Income Before Tax,87600
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Estimated Population,3700
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Income Before Tax Standard Error,534
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Median Income Before Tax,83700
Combined,GMS,UK,All,Female,Age 50 to 59,All,All,All,,,,,Sample Count,2200
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Average Tot Expenses,157400
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Average Tot Gross Earnings,243200
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Average Tot Income Before Tax,85800
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Estimated Population,650
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Income Before Tax Standard Error,1619
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Median Income Before Tax,78600
Combined,GMS,UK,All,Female,Age over 60,All,All,All,,,,,Sample Count,350
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Average Tot Expenses,71700
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Average Tot Gross Earnings,137700
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Average Tot Income Before Tax,65900
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Estimated Population,4950
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Income Before Tax Standard Error,374
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Median Income Before Tax,60700
Combined,GMS,UK,All,Female,Age under 40,All,All,All,,,,,Sample Count,2750
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Average Tot Expenses,119400
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Average Tot Gross Earnings,197100
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Average Tot Income Before Tax,77700
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Estimated Population,14450
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Income Before Tax Standard Error,248
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Median Income Before Tax,72300
Combined,GMS,UK,All,Female,All,All,All,All,,,,,Sample Count,8350
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Average Tot Expenses,214500
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Average Tot Gross Earnings,332600
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Average Tot Income Before Tax,118200
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Estimated Population,3950
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Income Before Tax Standard Error,590
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Median Income Before Tax,114700
Combined,GMS,UK,All,Male,Age 40 to 49,All,All,All,,,,,Sample Count,2300
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Average Tot Expenses,227200
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Average Tot Gross Earnings,350100
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Average Tot Income Before Tax,123000
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Estimated Population,4500
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Income Before Tax Standard Error,647
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Median Income Before Tax,117300
Combined,GMS,UK,All,Male,Age 50 to 59,All,All,All,,,,,Sample Count,2650
Combined,GMS,UK,All,Male,Age over 60,All,All,All,,,,,Average Tot Expenses,185100
Combined,GMS,UK,All,Male,Age over 60,All,All,All,,,,,Average Tot Gross Earnings,289000
Combined,GMS,UK,All,Male,Age over 60,All,All,All,,,,,Average Tot Income Before Tax,103900
