Sub ICB Loc ODS code,Sub ICB Loc ONS code,Sub ICB Loc name,PCN ODS code,PCN name,Practice code,Practice name,perc_achievement
,,,,,Y03366,Olive Family Practice,89.33333333
,,,,,P82624,Orient House Medical Centre,90.76923077
,,,,,P82002,Pikes Lane 1,80.88235294
,,,,,P82609,Shanti Medical Centre,92.30769231
,,,,,P82014,Spring House Surgery,81.48148148
,,,,,P82613,Spring View Medical Centre,90.74074074
,,,,,P82009,St Helens Road Practice,91.20879121
,,,,,P82005,Stable Fold Surgery,96.22641509
,,,,,P82008,Stonehill Medical Centre,83.42245989
,,,,,P82004,Swan Lane Medical Centre,91.97080292
,,,,,P82018,The Alastair Ross Medical Practice,88.17204301
,,,,,P82001,The Dunstan Partnership,90.08264463
,,,,,P82021,The Oaks Family Practice,90.78947368
,,,,,P82011,Tonge Fold Health Centre,81.11111111
,,,,,P82015,Unsworth Group Practice,95.07389163
,,,,,P82634,Wyresdale Road Surgery,94.91525424
,,,,,P83009,Blackford House Medical Centre,89.65517241
,,,,,P83001,Fairfax Group Practice,96.2962963
,,,,,P83620,Garden City Medical Centre,97.14285714
,,,,,P83027,Greyland Medical Centre,10
,,,,,P83621,Huntley Mount Medical Centre,78.26086957
,,,,,P83024,Knowsley Medical Centre,90.32258065
,,,,,P83623,Longfield Medical Practice,95.55555556
,,,,,P83612,Mile Lane Health Centre,100
,,,,,P83010,Monarch Medical Centre,70.58823529
,,,,,P83021,Peel Gps,90.35087719
,,,,,P83007,Radcliffe Medical Practice,86.8852459
,,,,,P83006,Ramsbottom Medical Practice,96.7032967
,,,,,P83603,Red Bank Group Practice,75.94936709
,,,,,P83015,Ribblesdale Medical Practice,91.78082192
,,,,,Y02755,Rock Healthcare Limited,63.07692308
,,,,,P83025,St Gabriel'S Medical Centre,80.83832335
,,,,,P83609,The Birches Medical Centre,100
,,,,,P83608,The Elms Medical Centre,92
,,,,,P83004,The Uplands Medical Practice,79.56989247
,,,,,P83012,Tower Family Healthcare,86.5234375
,,,,,P83005,Townside Surgery,82.92682927
,,,,,P83011,Unsworth Medical Centre,89.74358974
,,,,,P83611,Walmersley Road Medical Practice,61.9047619
,,,,,P83605,Whittaker Lane Med Centre,96.96969697
,,,,,P83017,Woodbank Surgery,74.19354839
,,,,,P81740,Adlington Medical Centre,95.14563107
,,,,,P81692,Beeches Medical Centre,93.75
,,,,,Y02466,Buckshaw Village Health Centre,97.39583333
,,,,,P81117,Central Park Surgery,88.46153846
,,,,,P81180,Clayton Brook Surgery,96.66666667
,,,,,P81033,Coppull Medical Practice,100
,,,,,P81701,Dr Dawoud'S Surgery,96.42857143
,,,,,Y00347,Dr R Baghdjian Surgery,96.55172414
,,,,,P81127,Gab Healthcare,90.08264463
,,,,,P81154,Granville House Med Ctre,95.52238806
,,,,,P81181,Kingsfold Medical Centre,87.5
,,,,,P81044,Library House Surgery,92.44186047
,,,,,P81186,Moss Side Medical Centre,87.5
,,,,,P81687,New Longton Surgery,95.23809524
,,,,,P81062,Regent House Surgery,94.59459459
,,,,,P81083,Roslea Surgery,88
,,,,,P81076,Sandy Lane Surgery,96.49122807
,,,,,P81741,Station Surgery,88
,,,,,P81038,The Chorley Surgery,83.01886792
,,,,,P81171,The Euxton Medical Centre,93.02325581
,,,,,P81082,The Ryan Medical Centre,91.46341463
,,,,,P81655,The Village Surgeries Croston&Eccleston,96.73913043
,,,,,P81143,Whittle Surgery,96.94656489
,,,,,P81010,Withnell Health Centre,97.61904762
,,,,,P81057,Worden Medical Centre,85.60606061
,,,,,P85015,Alexandra Group Med Pract,87.03703704
,,,,,P85011,Ch Medical Practice,80.27210884
,,,,,P85004,Chadderton Medical Practice,91.13924051
,,,,,P85622,Glodwick Medical Practice,62.3255814
,,,,,P85021,Greenbank Medical Practice,88.59060403
,,,,,Y02753,Hill Top Surgery,81.39534884
,,,,,Y02933,Hollinwood Medical Practice,85.38461538
,,,,,P85014,Hopwood House Medical Practice,86.02150538
,,,,,P85601,Jalal Practice,84.61538462
,,,,,Y02827,John Street Medical Practice,72.46376812
,,,,,P85615,Kapur Family Care,83.42245989
,,,,,P85022,Lees Medical Practice,84.375
,,,,,P85005,Leesbrook Surgery,98.75
,,,,,Y02875,Lindley House Health Centre,89.13043478
,,,,,P85605,Littletown Family Med Pract,94.79166667
,,,,,P85018,Md Family Practice,96.92307692
,,,,,P85610,Medlock Medical Practice,85.9375
,,,,,P85606,Moorside Medical Practice,92.55319149
,,,,,P85017,Oak Gables Medical Practice,89.70588235
,,,,,P85007,Oldham Family Practice,90.625
,,,,,P85012,Oldham Medical Services,95.83333333
,,,,,P89006,Pennine Medical Centre,87.39495798
,,,,,P85608,Perkins Practice,100
,,,,,P85026,Quayside Medical Practice,88.77005348
,,,,,P85019,Royton Medical Centre,87.14285714
,,,,,P85016,Saddleworth Medical Practice,92.17391304
,,,,,P85020,Springfield House,80.41237113
,,,,,P85002,St Mary'S Medical Centre,88.37209302
,,,,,P85003,The Chowdhury Practice,96.36363636
,,,,,Y01124,The Duru Practice,70.83333333
,,,,,P85013,The Royton & Crompton Family Practice,87.12871287
,,,,,P85614,Village Medical Practice,87.5
,,,,,P85612,Werneth Medical Practice,70
,,,,,P85010,Woodlands Medical Practice,85.625
,,,,,P81147,Arg Healthcare,88.88888889
,,,,,P81078,Barnoldswick Med Ctr,91.66666667
,,,,,P81757,Barrowford Surgery,91.66666667
,,,,,P81053,Briercliffe Surgery,87.36842105
,,,,,P81020,Burnley Group Practice,84.22939068
,,,,,P81137,Burnley Wood Medical Centre,90.90909091
,,,,,P81035,Colne Road Surgery,96.55172414
,,,,,P81711,Dill Hall Surgery,91.30434783
,,,,,P81166,Dr Bello'S Surgery,95.83333333
,,,,,P81731,Dr Jehangir (Sh),77.41935484
,,,,,Y02606,Fairmore Medical Practice,76.74418605
,,,,,P81730,Great Harwood Medical Group,89.65517241
,,,,,P81732,Harambee Surgery,97.56097561
,,,,,P81099,Haslingden Healthcare Ltd,92.78350515
,,,,,P81212,Hazelvalley Family Practice,89.55223881
,,,,,P81699,Higher Heys Surgery,87.5
,,,,,P81165,Ightenhill Medical Centre,75.86206897
,,,,,P81118,Ilex View Medical Practice,87.59689922
,,,,,P81027,Irwell Medical Practice,91.22807018
,,,,,P81726,King Street Medical Ctr,92
,,,,,P81170,Nelson Medical Practice,76.97368421
,,,,,P81160,Oswald Medical Centre,81.5
,,,,,P81130,Padiham Group Practice,88
,,,,,P81047,Parkside Surgery,89.14285714
,,,,,P81036,Peel House Medical Practice,86.06060606
,,,,,P81070,Pendle View Medical Ctre,78.20512821
,,,,,P81069,Pendleside Medical Pract,95.09803922
,,,,,Y02605,Pwe Accrington Victoria,76.78571429
,,,,,P81123,Pwe Pendle Valley Mill,84.17721519
,,,,,P81032,Reedyford Hlth Care Group,76
,,,,,P81182,Richmond Medical Centre,89.10891089
,,,,,P81780,Riverside Family Practice,83.87096774
,,,,,P81197,Rosegrove Surgery,87.03703704
,,,,,P81686,Rossendale Valley Medical Practice,96.2962963
,,,,,P81620,Slaidburn Health Centre,100
,,,,,P81003,St James' Medical Centre,92.64705882
,,,,,P81100,The Castle Medical Group,98.30508475
,,,,,P81218,The Clayton Medical Ctr.,92.95774648
,,,,,P81065,The Pendle Medical Partnership,79.50310559
,,,,,P81025,The Richmond Hill Practice,85.07462687
,,,,,P81755,The Weavers Practice,96.875
,,,,,P81095,Thursby Surgery,91.52542373
,,,,,P81132,Waterfoot Medical Practice,87.77777778
,,,,,P81017,Whalley Medical Centre,96.03174603
,,,,,P81736,Whitefield Healthcare,91.52542373
,,,,,P81088,Whitworth Medical Centre,85.55555556
,,,,,P81008,Yorkshire Street Medical Centre,100
,,,,,P86006,Ashworth Street Surgery,82.06278027
,,,,,Y02718,Birtle View Medical Practice,92.1875
,,,,,P86009,Castleton Health Centre,91.66666667
,,,,,P86014,Croft Shifa Health Centre,90.42553191
,,,,,P86614,Dr A Hamid,95.08196721
,,,,,P86002,Dr Gwd Bhima,100
,,,,,P86619,Dr Mb Ghafoor & Partners,95.6043956
,,,,,P86019,Durnford Medical Centre,92.92035398
,,,,,P86003,Edenfield Road Surgery,91.91919192
,,,,,P86606,Family Practice,77.19298246
,,,,,P86602,Heady Hill Surgery,88
,,,,,P86013,Healey Surgery,80.32786885
,,,,,P86016,Heywood Health,82.30088496
,,,,,P86023,Hopwood Medical Centre,88.28125
,,,,,P86017,Inspire Medical Centre,97.10144928
,,,,,Y02721,Kirkholt Medical Practice,91.56626506
,,,,,P86018,Littleborough Group Practice,96.77419355
,,,,,P86011,Longford Street Medical Centre,86
,,,,,P86008,Mark Street Surgery,83.87096774
,,,,,Y02795,Middleton Health Centre,85.48387097
,,,,,P86001,Milnrow Village Practice,96.1038961
,,,,,P86021,Pennine Surgery,100
,,,,,P86004,Peterloo Medical Centre,81.9047619
,,,,,P86015,Rochdale Road Medical Centre,73.07692308
,,,,,P86022,Stonefield Street Surgery,96.59090909
,,,,,P86609,The Dale Medical Practice,91.42857143
,,,,,P86026,The Dawes Family Practice,83.33333333
,,,,,Y00726,The Hive Health Centre,96.96969697
,,,,,P86010,The Junction Surgery,91.08910891
,,,,,Y02720,The Kingsway Practice,88.31168831
,,,,,P86608,The Village Medical Ctr.,97.6744186
,,,,,P86624,Trinity Medical Centre,90.24390244
,,,,,P86007,Wellfield Health Centre,75.86206897
,,,,,P86620,Windermere Surgery,84.61538462
,,,,,P86012,Woodside Medical Centre,87.2
,,,,,P86005,Yorkshire St Surgery,97.10144928
,,,,,P81770,Avenham Surgery,77.5
,,,,,P81055,Berry Lane Medical Centre,92.76315789
,,,,,P81748,Briarwood Medical Centre,95.94594595
,,,,,P81735,Dr A Hussain,84.44444444
,,,,,P81685,Dr Ali Guttridge Medical Centre,68.08510638
,,,,,P81169,Fishergate Hill Surgery,79.48717949
,,,,,P81647,Gutteridge Medical Centre,93.75
,,,,,P81196,Issa Medical Centre - Patel,73.49665924
,,,,,P81119,Lane Ends Surgery,79.85074627
,,,,,P81040,Longton Health Centre,95.74468085
,,,,,P81179,Lostock Hall Medical Ctr.,96.77419355
,,,,,P81015,Lytham Road Surgery,86.06557377
,,,,,P81103,North Preston Medical Practice,82.19178082
,,,,,P81046,Park View Surgery,86.8852459
,,,,,P81184,Ribbleton Medical Centre,87.25490196
,,,,,P81185,Riverside Medical Centre,96.25
,,,,,P81018,St Fillan'S Medical Ctre,98.61111111
,,,,,P81213,St. Mary'S Health Centre,93.39622642
,,,,,P81107,Stonebridge Surgery,88.31168831
,,,,,P81067,The Healthcare Centre,91.66666667
,,,,,P81071,The New Hall Lane Practice,80.76923077
,,,,,P81664,The Park Medical Practice,90.43062201
,,,,,N81011,Bevan Group Practice,80.76923077
,,,,,N81096,Brookvale Practice,82.92682927
,,,,,N81019,Castlefields Health Centre,90.18404908
,,,,,N81035,Fir Park Medical Centre,81.55339806
,,,,,N81066,Grove House Practice,84.39716312
,,,,,N81119,Hough Green Health Park,79.36507937
,,,,,N81072,Murdishaw,89.28571429
,,,,,N81064,Newtown Surgery,86.36363636
,,,,,N81619,Oaks Place Surgery,87.71929825
,,,,,N81045,Peelhouse Medical Plaza,91.91176471
,,,,,N81037,The Beeches Medical Ctr,82.85714286
,,,,,N81057,Tower House Practice,96.26168224
,,,,,N81651,Upton Rocks Primary Care,87.5
,,,,,N81054,Weaver Vale Practice,92.5
,,,,,P87657,(Irlam) Salford Care Ctrs Medical Practi,93.75
,,,,,P87620,1/Monton Medical Practice,86.91588785
,,,,,P87004,1/Salford Medical Practice,68.11594203
,,,,,P87654,3/Lower Broughton Medical Practice,63.55932203
,,,,,P87024,3/Springfield House Medical Practice,87.96992481
,,,,,Y02622,Blackfriars,52.30769231
,,,,,Y02625,Care Homes Medical Practice,:
,,,,,P87649,Chapel Group Medical Centre,87.83783784
,,,,,P87630,Cherry Medical Practice,90
,,,,,P87634,Clarendon Surgery,90.26548673
,,,,,P87613,Cleggs Lane Medical Practice/129,85.71428571
,,,,,P87639,Cornerstone Medical Practice,73.17073171
,,,,,P87625,Dearden Avenue Medical Practice,77.14285714
,,,,,P87624,Ellenbrook Medical Centre,93.65079365
,,,,,P87027,Langworthy Medical Practice,88
,,,,,P87651,Limefield Road Medical Practice,56.95364238
,,,,,P87661,Manchester Road East Medical Practice,89.18918919
,,,,,P87022,Mocha Parade Medical Practice,0
,,,,,P87026,Newbury Green Medical Practice,74.8603352
,,,,,P87627,Orchard Medical Practice,93.33333333
,,,,,P87035,Ordsall Health Surgery,88.88888889
,,,,,P87032,Orient Road Medical Practice,83.33333333
,,,,,P87015,Pendleton Medical Centre,86.66666667
,,,,,P87648,Reut Medical Practice,4.910714286
,,,,,Y00445,Salford Primary Care Together,75.92592593
,,,,,P87019,Silverdale Medical Practice,75.71428571
,,,,,P87040,Sorrel Bank Medical Practice,75
,,,,,P87020,St Andrews Medical Centre,87.13450292
,,,,,P87028,The Gill Medical Practice,89.65517241
,,,,,Y02767,The Height General Practice,88.88888889
,,,,,P87025,The Lakes Medical Practice,89.83050847
,,,,,P87017,The Limes Medical Practice,95.83333333
,,,,,P87610,The Mosslands Medical Practice,84.50704225
,,,,,P87002,The Poplars Medical Practice,89.90825688
,,,,,P87016,The Sides Medical Practice,97.48427673
,,,,,P87658,The Willows Medical Practice,93.75
,,,,,P87008,Walkden Medical Centre,87.36842105
,,,,,A82004,Alston Medical Practice,93.33333333
,,,,,A82006,Appleby Medical Practice,97.14285714
,,,,,A82055,Aspatria Medical Group,91.04477612
,,,,,A82035,Birbeck Medical Group,92.17391304
,,,,,A82012,Brampton Medical Practice,93.83561644
,,,,,A82014,Caldbeck Surgery,96.42857143
,,,,,A82016,Carlisle Healthcare,91.09947644
,,,,,A82021,Castlegate And Derwent Surgery,95.55555556
,,,,,A82028,Castlehead Medical Centre,97.72727273
,,,,,A82631,Court Thorn Surgery,94.11764706
,,,,,A82022,Dalston Medical Group,97.56097561
,,,,,A82023,Distington Surgery,96.77419355
,,,,,A82020,Eden Medical Group,90.69767442
,,,,,A82044,Fellview Healthcare,92.8
,,,,,A82019,Fusehill Medical Practice,92.70833333
,,,,,A82620,Glenridding Health Centre,100
,,,,,A82047,James Street Group Pract,91.83673469
,,,,,A82617,Kirkoswald Surgery,94.44444444
,,,,,A82646,Longtown Medical Centre,97.2972973
,,,,,A82041,Lowther Medical Centre,92.30769231
,,,,,A82075,Mansion House Surgery,91.52542373
,,,,,A82032,Maryport Health Services,95.96774194
,,,,,A82024,Seascale Health Centre,96.15384615
,,,,,A82031,Shap Medical Practice,96.55172414
,,,,,A82037,Silloth Group Medical Practice,100
,,,,,A82018,Spencer St Surgery,90.90909091
,,,,,A82038,Temple Sowerby Medical Practice,94.11764706
,,,,,A82029,The Croft Surgery,92.85714286
,,,,,A82036,The Lakes Medical Practice,95.74468085
,,,,,A82013,Upper Eden Medical Practice,96.07843137
,,,,,A82015,Warwick Road Surgery,83.92857143
,,,,,A82654,Warwick Square Group Practice,92.75362319
,,,,,A82064,Westcroft House Surgery,97.87234043
,,,,,A82045,Wigton Group Medical Practice,96.25
,,,,,N83028,Aston Healthcare Limited,72.46963563
,,,,,N83609,Cedar Cross Medical Centre,83.33333333
,,,,,N83610,Colby Medical Centre,75
,,,,,N83025,Cornerways Medical Centre,68.96551724
,,,,,N83014,Dinas Lane Medical Centre,72.51908397
,,,,,N83030,Dr M Suares' Practice,80.64516129
,,,,,N83608,Dr Maassarani & Partners,81.57894737
,,,,,N83621,Hillside House Surgery,80
,,,,,N83605,Hollies Medical Centre,79.59183673
,,,,,N83043,Longview Medical Centre,55.26315789
,,,,,N83032,Millbrook Medical Centre,79.16666667
,,,,,N83633,Nutgrove Villa Surgery,77.77777778
,,,,,N83024,Park House Medical Centre,89.47368421
,,,,,N83603,Prescot Medical Centre,90.14084507
,,,,,N83622,Primrose Medical Practice,86.20689655
,,,,,N83619,Roby Medical Centre,90.69767442
,,,,,N83031,Roseheath Surgery,81.08108108
,,,,,N83033,St. Laurence'S Medical Centre,68.65671642
,,,,,N83018,Stockbridge Village Hc,73.45132743
,,,,,N83047,Tarbock Medical Centre,80
,,,,,N83013,The Health Centre Surgery,90
,,,,,N83601,The Macmillan Surgery,70.90909091
,,,,,N83009,Wingate Medical Centre,70.86092715
,,,,,A82010,Abbey Road Surgery,96.15384615
,,,,,A82005,Ambleside Health Centre,71.42857143
,,,,,P81029,Ash Trees Surgery,94.44444444
,,,,,A82062,Atkinson Health Centre,94.73684211
,,,,,Y01008,Bay Medical Group,89.84771574
,,,,,B82061,Bentham Medical Practice,90.76923077
,,,,,A82009,Bridgegate Medical Centre,96
,,,,,A82071,Burnett Edgar Medical Ctr,92.59259259
,,,,,A82025,Captain French Surgery,91.42857143
,,,,,A82647,Cartmel Surgery,92.85714286
,,,,,A82039,Dalton Surgery,94.18604651
,,,,,A82651,Duddon Valley Medical Practice,94.73684211
,,,,,A82007,Duke Street Surgery,93.44262295
,,,,,A82650,Haverthwaite Surgery,100
,,,,,P81002,Lancaster Medical Practice,94.33962264
,,,,,A82030,Lunesdale Surgery,90.74074074
,,,,,A82008,Norwood Medical Centre,88.28125
,,,,,A82053,Nutwood Medical Practice,95.83333333
,,,,,P81113,Park View Surgery,91.04477612
,,,,,P81013,Queen Square Medical Practice,86.1878453
,,,,,A82072,Risedale Surgery,92.20779221
,,,,,A82608,Sedbergh Medical Practice,100
,,,,,A82070,St. Mary'S Surgery,94.11764706
,,,,,A82027,Station House Surgery,92.30769231
,,,,,A82629,The Family Practice,15
,,,,,A82026,The James Cochrane Pract.,94.47852761
,,,,,A82068,Ulverston Community Health Centre,94.73684211
,,,,,A82003,Ulverston Health Centre (Murray),96.61016949
,,,,,A82033,Waterloo House Surgery,96.20253165
,,,,,A82046,Windermere Health Centre,76.66666667
,,,,,A82613,Wraysdale House Surgery,100
,,,,,N84035,15 Sefton Road,82.60869565
,,,,,N84001,42 Kingsway,89.79591837
,,,,,N84002,Aintree Road Medical Centre,100
,,,,,N84020,Blundellsands Surgery,87.12871287
,,,,,N84015,Bootle Village Surgery,73.58490566
,,,,,N84023,Bridge Road Medical Centre,73.25581395
,,,,,N84038,Concept House Surgery,77.94117647
,,,,,N84026,Crosby Village Surgery,75.86206897
,,,,,N84627,Crossways Practice,78.57142857
,,,,,N84011,Eastview Surgery,94.64285714
,,,,,N84029,Ford Medical Practice,73.13432836
,,,,,N84004,Glovers Lane Surgery,73.91304348
,,,,,N84003,High Pastures Surgery,88.42105263
,,,,,N84626,Hightown Village Surgery,82.35294118
,,,,,N84041,Kingsway Surgery,86.66666667
,,,,,N84605,Litherland Practice,81.03448276
,,,,,N84007,Liverpool Rd Medical Practice,90.76923077
,,,,,N84010,Maghull Family Surgery,98.21428571
,,,,,Y00446,Maghull Practice,73.91304348
,,,,,N84016,Moore Street Medical Centre,85.91549296
,,,,,N84630,Netherton Surgery,75
,,,,,N84019,North Park Health Centre,64.55696203
,,,,,N84027,Orrell Park Medical Centre,72.88135593
,,,,,N84034,Park Street Surgery,88.33333333
,,,,,N84615,Rawson Road Medical Centre,68.57142857
,,,,,N84043,Seaforth Village Surgery,64.28571429
,,,,,N84028,The Strand Medical Centre,68.57142857
,,,,,N84621,Thornton Surgery,63.15789474
