Data_source,CENSUS_YEAR,CENSUS_MONTH,PCN_CODE,PCN_NAME,SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,ICB_NAME,COMM_REGION_CODE,COMM_REGION_NAME,STAFF_GROUP,STAFF_ROLE,DETAILED_STAFF_ROLE,FTE,UNIQUE_IDENTIFIER
NWRS Staff,2020,3,U06079,ABBEY HEALTH PCN,06N,NHS Hertfordshire and West Essex ICB - 06N Herts Valleys,QM7,NHS Hertfordshire and West Essex ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.4,3134
NWRS Staff,2020,3,U02749,CENTRAL BOURNEMOUTH PCN,11J,NHS Dorset ICB - 11J ,QVV,NHS Dorset ICB,Y58,South West,Other Admin/Non-clinical staff,Managers,Manager,0.64,69391
NWRS Staff,2020,3,U34632,BRIDGEDALE SOUTH RIBBLE PCN,00X,NHS Lancashire and South Cumbria ICB - 00X Chorley and South Ribble,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69392
NWRS Staff,2020,3,U34632,BRIDGEDALE SOUTH RIBBLE PCN,00X,NHS Lancashire and South Cumbria ICB - 00X Chorley and South Ribble,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.426666667,69393
NWRS Staff,2020,3,U01092,CISSBURY INTEGRATED CARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.16,47148
NWRS Staff,2020,3,U01092,CISSBURY INTEGRATED CARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Senior Manager,0.08,3224
NWRS Staff,2020,3,U34632,BRIDGEDALE SOUTH RIBBLE PCN,00X,NHS Lancashire and South Cumbria ICB - 00X Chorley and South Ribble,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,Other Admin/Non-clinical staff,Managers,Manager,1,69394
NWRS Staff,2020,3,U01092,CISSBURY INTEGRATED CARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69395
NWRS Staff,2020,3,U01092,CISSBURY INTEGRATED CARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3199
NWRS Staff,2020,3,U34632,BRIDGEDALE SOUTH RIBBLE PCN,00X,NHS Lancashire and South Cumbria ICB - 00X Chorley and South Ribble,QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,Directors,Medical Clinical Director,Clinical Director – Medical,0.853333333,6180
NWRS Staff,2020,3,U93148,"CHIPPENHAM, CORSHAM and BOX PCN",92G,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB - 92G ",QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",Y58,South West,Other Admin/Non-clinical staff,Managers,Manager,0.213333333,69396
NWRS Staff,2020,3,U63258,DERBYSHIRE DALES PCN,15M,NHS Derby and Derbyshire ICB - 15M ,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.426666667,69397
NWRS Staff,2020,3,U63258,DERBYSHIRE DALES PCN,15M,NHS Derby and Derbyshire ICB - 15M ,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,Directors,Medical Clinical Director,Clinical Director – Medical,0.426666667,48493
NWRS Staff,2020,3,U63258,DERBYSHIRE DALES PCN,15M,NHS Derby and Derbyshire ICB - 15M ,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69398
NWRS Staff,2020,3,U53419,ROCKINGHAM FOREST PCN,78H,NHS Northamptonshire ICB - 78H ,QPM,NHS Northamptonshire ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69399
NWRS Staff,2020,3,U53419,ROCKINGHAM FOREST PCN,78H,NHS Northamptonshire ICB - 78H ,QPM,NHS Northamptonshire ICB,Y60,Midlands,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69400
NWRS Staff,2020,3,U63258,DERBYSHIRE DALES PCN,15M,NHS Derby and Derbyshire ICB - 15M ,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69401
NWRS Staff,2020,3,U75549,SOUTH PETERBOROUGH PCN,06H,NHS Cambridgeshire and Peterborough ICB - 06H ,QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.8,69402
NWRS Staff,2020,3,U75549,SOUTH PETERBOROUGH PCN,06H,NHS Cambridgeshire and Peterborough ICB - 06H ,QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69403
NWRS Staff,2020,3,U24388,CANTAB MEDICAL PRACTICES PCN,06H,NHS Cambridgeshire and Peterborough ICB - 06H ,QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69404
NWRS Staff,2020,3,U63258,DERBYSHIRE DALES PCN,15M,NHS Derby and Derbyshire ICB - 15M ,QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,0.16,69405
NWRS Staff,2020,3,U12920,HARINGEY - NORTH WEST PCN,93C,NHS North Central London ICB - 93C ,QMJ,NHS North Central London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3107
NWRS Staff,2020,3,U49727,ANFIELD and EVERTON PCN,99A,NHS Cheshire and Merseyside ICB - 99A Liverpool,QYG,NHS Cheshire and Merseyside ICB,Y62,North West,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.986666667,69406
NWRS Staff,2020,3,U49727,ANFIELD and EVERTON PCN,99A,NHS Cheshire and Merseyside ICB - 99A Liverpool,QYG,NHS Cheshire and Merseyside ICB,Y62,North West,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.986666667,69407
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.133333333,69408
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.066666667,69409
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.066666667,69410
NWRS Staff,2020,3,U20640,ST NEOTS PCN,06H,NHS Cambridgeshire and Peterborough ICB - 06H ,QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.8,69411
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.149333333,30440
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.149333333,57714
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Directors,Medical Clinical Director,Clinical Director – Medical,0.133333333,69412
NWRS Staff,2020,3,U47609,ALLIANCE OF SUTTON PRACTICES PCN,15E,NHS Birmingham and Solihull ICB - 15E ,QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,Directors,Medical Clinical Director,Clinical Director – Medical,0.066666667,69413
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3157
NWRS Staff,2020,3,U11112,WANSBECK PCN,00L,NHS North East and North Cumbria ICB - 00L Northumberland,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3124
NWRS Staff,2020,3,U11112,WANSBECK PCN,00L,NHS North East and North Cumbria ICB - 00L Northumberland,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3152
NWRS Staff,2020,3,U89699,YORKSHIRE COAST and WOLDS PCN,02Y,NHS Humber and North Yorkshire ICB - 02Y East Riding of Yorkshire,QOQ,NHS Humber and North Yorkshire ICB,Y63,North East and Yorkshire,Directors,Medical Clinical Director,Clinical Director – Medical,0.213333333,29105
NWRS Staff,2020,3,U94681,NORTH NORFOLK 1 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3142
NWRS Staff,2020,3,U91215,NORTH NORFOLK 2 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3122
NWRS Staff,2020,3,U11112,WANSBECK PCN,00L,NHS North East and North Cumbria ICB - 00L Northumberland,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3150
NWRS Staff,2020,3,U62485,NORTH NORFOLK 3 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.986666667,69414
NWRS Staff,2020,3,U11112,WANSBECK PCN,00L,NHS North East and North Cumbria ICB - 00L Northumberland,QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,Directors,Medical Clinical Director,Clinical Director – Medical,0.224,68899
NWRS Staff,2020,3,U04154,NORTH NORFOLK 4 PCN,26A,NHS Norfolk and Waveney ICB - 26A ,QMM,NHS Norfolk and Waveney ICB,Y61,East of England,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.789333333,69415
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.986666667,69416
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3213
NWRS Staff,2020,3,U21339,ARUN PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Manager,0.8,69417
NWRS Staff,2020,3,U57981,CHANCTONBURY PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Manager,0.32,3223
NWRS Staff,2020,3,U57981,CHANCTONBURY PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.16,69418
NWRS Staff,2020,3,U87199,TOWER HAMLETS NETWORK 5 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3064
NWRS Staff,2020,3,U57981,CHANCTONBURY PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.16,69419
NWRS Staff,2020,3,U57981,CHANCTONBURY PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.773333333,69420
NWRS Staff,2020,3,U24558,CHICHESTER ALLIANCE OF MEDICAL PRACTICES PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Manager,0.133333333,69421
NWRS Staff,2020,3,U18020,"STOURBRIDGE, WOLLESCOTE and LYE PCN",D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.64,3227
NWRS Staff,2020,3,U87199,TOWER HAMLETS NETWORK 5 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,3214
NWRS Staff,2020,3,U54453,TOWER HAMLETS NETWORK 2 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,1.333333333,69422
NWRS Staff,2020,3,U24558,CHICHESTER ALLIANCE OF MEDICAL PRACTICES PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3220
NWRS Staff,2020,3,U08235,REGIS HEALTHCARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Manager,0.213333333,69423
NWRS Staff,2020,3,U08235,REGIS HEALTHCARE PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.986666667,69424
NWRS Staff,2020,3,U18020,"STOURBRIDGE, WOLLESCOTE and LYE PCN",D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.506666667,3165
NWRS Staff,2020,3,U33593,RURAL NORTH CHICHESTER PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3196
NWRS Staff,2020,3,U18020,"STOURBRIDGE, WOLLESCOTE and LYE PCN",D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,0.213333333,69425
NWRS Staff,2020,3,U37037,SHOREHAM AND SOUTHWICK PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Directors,Medical Clinical Director,Clinical Director – Medical,0.213333333,58242
NWRS Staff,2020,3,U37037,SHOREHAM AND SOUTHWICK PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Admin/Non-clinical staff,Managers,Manager,0.266666667,69426
NWRS Staff,2020,3,U09193,TOWER HAMLETS NETWORK 8 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Directors,Medical Clinical Director,Clinical Director – Medical,0.146666667,23974
NWRS Staff,2020,3,U37037,SHOREHAM AND SOUTHWICK PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3139
NWRS Staff,2020,3,U54453,TOWER HAMLETS NETWORK 2 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69427
NWRS Staff,2020,3,U37037,SHOREHAM AND SOUTHWICK PCN,70F,NHS Sussex ICB - 70F West Sussex,QNX,NHS Sussex ICB,Y59,South East,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,3212
NWRS Staff,2020,3,U96282,LSMP AND THE LIGHT PCN,15F,NHS West Yorkshire ICB - 15F Leeds,QWO,NHS West Yorkshire ICB,Y63,North East and Yorkshire,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69428
NWRS Staff,2020,3,U96282,LSMP AND THE LIGHT PCN,15F,NHS West Yorkshire ICB - 15F Leeds,QWO,NHS West Yorkshire ICB,Y63,North East and Yorkshire,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,69429
NWRS Staff,2020,3,U06978,NEWHAM NORTH EAST 2 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.34,69430
NWRS Staff,2020,3,U06978,NEWHAM NORTH EAST 2 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.5,69431
NWRS Staff,2020,3,U54453,TOWER HAMLETS NETWORK 2 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,1,69432
NWRS Staff,2020,3,U65434,STOCKWELLBEING PCN,72Q,NHS South East London ICB - 72Q ,QKK,NHS South East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,1,651
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.213333333,69433
NWRS Staff,2020,3,U65434,STOCKWELLBEING PCN,72Q,NHS South East London ICB - 72Q ,QKK,NHS South East London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,0.986666667,3203
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,0.106666667,3195
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Direct Patient Care staff,Physiotherapists,Physiotherapist,1,3217
NWRS Staff,2020,3,U25131,KILBURN PARTNERSHIP PCN,W2U3Z,NHS North West London ICB - W2U3Z ,QRV,NHS North West London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.5,69434
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,0.106666667,3105
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Other Admin/Non-clinical,Other,0.106666667,3156
NWRS Staff,2020,3,U34188,NEWHAM NORTH EAST 1 PCN,A3A8R,NHS North East London ICB - A3A8R ,QMF,NHS North East London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.6,69435
NWRS Staff,2020,3,U26715,WOLVERHAMPTON SOUTH EAST PCN,D2P2L,NHS Black Country ICB - D2P2L ,QUA,NHS Black Country ICB,Y60,Midlands,Other Admin/Non-clinical staff,Managers,Manager,0.266666667,69436
NWRS Staff,2020,3,U25131,KILBURN PARTNERSHIP PCN,W2U3Z,NHS North West London ICB - W2U3Z ,QRV,NHS North West London ICB,Y56,London,Other Direct Patient Care staff,Pharmacists,Pharmacist,0.5,69437
NWRS Staff,2020,3,U25131,KILBURN PARTNERSHIP PCN,W2U3Z,NHS North West London ICB - W2U3Z ,QRV,NHS North West London ICB,Y56,London,Other Direct Patient Care staff,Social Prescribing Link Workers,Social Prescribing Link Worker,1,69438
