Practice Postcode,Practice Code
SS91SX,F81676
DH31AX,
SS39NX,
ME101NQ,Y01009
BT701HN,
NR24JL,
RM143DP,F82643
E28AL,F84042
DN161LE,B81098
ST34JD,M83133
FK20XF,
RM124AN,F82646
SE91XY,G83022
RM137XR,F82744
HP156RZ,
MK23EJ,K82062
EH320LG,
BH119EH,J81063
SS39YA,F81688
SW59JZ,E87055
RG248TF,J82647
BN200HR,
E62DS,F84713
BN213QJ,Y02816
M300TU,P87660
SR27PF,A89611
FY13JG,P81004
DA99DB,G82221
G697SP,
GL11HX,Y02519
CO154AB,A00001
E138LJ,F84673
ME11QE,G82764
PL68UE,L83642
NP198NL,
HU67ER,B81021
LE673PH,C82106
CO155UW,F81157
CM28SP,
PO332PT,J84602
CT95DB,G82810
M419JS,P91625
B144JU,M85092
HU143PE,B81679
BN33ER,G81687
M320RN,P91615
FY13HP,P81760
SW185SG,H85650
CO154DA,F81018
LS64JP,
EN37HW,F85681
NR302PT,Y02662
IP287EF,
ME159AP,G82065
PO12RY,
RG218SU,J82123
SK75JW,P88620
SG137NU,E82620
L244AG,
WA102DE,
BN229NQ,
BN38LH,Y00079
ST11LW,Y02868
NE657DG,A84613
SA160LW,
NG73AQ,Y04800
NG174PD,C84061
E178NE,F86686
IG38YB,F86635
WV100HP,M92643
TS89JH,Y02884
SE39YX,G83017
BH124HY,J81632
TW33RN,E85724
LL499HD,
TF66LY,
LS84HA,B86651
N113HB,Y00105
BT41NS,
LN65UU,
BB80LJ,
BN36HG,G81094
SW196DA,H85643
EH35PY,
NE323JN,
DA52ER,G82206
SR84PF,A83068
E78DR,F84671
PE93TE,
LA11RE,P81064
KT66LA,H84058
B440PU,Y02988
WA102TL,N83636
IP39LU,
IP138DZ,
CO29LA,F81109
B339SD,M85776
CV128AB,Y04883
NG71PR,C84633
E106BT,F86073
TS123EX,
SK178QP,
NP132JH,
CF144AG,
RG13PA,K81072
LE182AH,
BH152JD,J81069
ML69SG,
S87LE,
SS93PS,F81718
SE173NH,G85082
BH149ET,J81065
LE73QQ,C82657
CV36FZ,M86043
TF34DZ,Y02421
WS107HP,Y02702
E126NR,F84091
NG35AQ,C84602
NR330QL,D83071
NG116HF,
SN31NJ,J83634
B677NA,M88637
BN15BF,G81684
KT65BH,H84049
BN27FA,
LL572SE,
B755BS,M85738
ST31LG,M83128
LN43DZ,C83655
PO94AB,J82650
PL101DE,L82621
W21RU,E87630
TA41JZ,
BA12AU,L81655
SE146TD,G85008
RM137XR,F82744
N228NW,
NP234LW,
LA158AF,A82619
GU47JS,H81647
KT34AD,
CF242BU,
HP235AE,E82131
EX172AR,L83127
MK183DW,K82043
OX263HA,K84621
CO11DZ,F81094
OX37RH,
UB25TH,E85755
PE12TP,
BN14EW,G81103
OX27NE,K84029
PE46SE,
RH204DH,H82068
PE275PT,D81074
PO63DS,J82086
BS70LS,L81028
DY83DB,M87002
PL52UE,L83037
YO127EJ,B82058
BA23JZ,L81049
DA175JG,
PO14ND,J82117
SN33NN,
PO20JD,
CM129LD,F81648
RG253DU,J82046
EX201PN,Y00304
M160LW,P91619
CM59AA,F81728
SG99DL,E82126
CT102AF,G82210
CM179BG,F81758
M219LH,P84676
DE126JF,C81104
TQ45AZ,L83122
CF484QE,
HX15UA,B84610
TS37EA,
CT195BZ,G82760
B436BT,M88623
N134RG,F85053
PL46NX,L83117
CO43HS,F81079
WV67AF,
NW65DX,E84696
TR182RE,L82053
RG48NR,K81647
LE39RF,C82625
NG23AJ,Y02847
PL254EG,L82055
E26NA,Y00212
NE53AE,Y02711
CF399RR,
SO172NJ,
WD196UT,E82653
HA30UN,E84661
L148XE,
CR82PE,
NG55RB,C84135
LE23FU,
ST71NY,M83665
LS257JU,B86037
BB32RJ,
UB68TG,
BT235AU,
SY45HG,
SE42PJ,G85048
AB251QB,
WV21EU,M92035
NW31PD,F83682
MK403PX,E81611
SW67HS,E85672
W86PR,E87649
NE156BY,Y02726
PR28HE,
PR29ZZ,P88033
CH604RH,N85058
SE50BB,G85050
W114EG,E87727
TS122NN,
SE182NB,G83668
OL129SA,Y02719
BA128QS,J83642
BS91NG,L81663
SO197TN,J82651
SP34JL,
SP97NN,J83643
E50DH,F84043
B145NG,M85045
RH28AX,H81667
SS00AF,F81733
RG303QP,
IG38YB,F86635
GL54EX,L84609
NG59AJ,
DY27QA,M87634
BS232QZ,
TW183JH,H81079
FY30DD,
DT102RG,J81040
CF643EP,
ME45AU,Y02472
EH479BZ,
E130LY,F84727
E151SQ,F84699
SW24QY,G85118
B807HJ,M84608
LU33EP,E81054
SE265QW,G85081
SW36PX,E87718
B634JJ,
ME99SN,G82667
E151UA,F86639
WA93JN,N83016
GL12RE,L84606
LS177BE,B86023
IG13DP,F86655
GL45ET,
BN162EA,H82641
SE93AZ,G83655
W92AF,E87723
TD145PE,
TD57LF,
SW166BL,H85695
CR08RP,H83035
RM126LU,F82641
N154AB,F85049
TN299RG,
TN364NA,
TQ148AF,L83145
N88JJ,F85026
LE651HS,C82663
BN24FH,G81661
CR44TP,Y02968
DY11RH,M87614
PL48PH,L83123
M415SL,Y02129
B772LD,
SE182AE,Y02222
KT25QH,Y02379
LL297LG,
NG165FU,
UB11BW,E85096
CT91PP,G82649
LN67GA,Y04942
E130DH,F84679
B330NA,M85784
RM95QP,F82004
E105DU,Y00092
TA67AS,L85612
SG13QX,
IP119QL,D83082
CR44AX,H85086
SG141HH,E82109
WA101PN,N83620
SM39BX,H85618
NG91EH,C84003
E153DJ,F84661
HP24AD,Y02638
TN156EJ,G82124
W21NR,E87670
SW1V2HF,E87014
WS29ES,Y02624
YO311EX,
HP224JF,K82042
SY25AP,
CA287PA,A82060
RG28PP,
E50PL,
YO127LB,B82038
CT118AY,G82812
YO317WQ,B82082
BR15QA,G85099
B987RY,M81087
NG321LX,C83628
WF20NL,
CV23LB,M86604
ME89NE,G82644
PO410QP,
LL299RF,
PL68UE,L83642
G661DG,
BT345LY,
SA431ED,
SA640BN,
