code_April_2020,previous_practice_codes,fm_1000_code_2020,lm_1000_code_2020,fm_1000_previous_codes,lm_1000_previous_codes
A82029,A82029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82030,A82030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82031,A82031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82032,A82032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82033,A82033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82034,A82034,01/04/2013,01/06/2020,01/04/2013,01/06/2020
A82035,A82035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82036,A82036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82037,A82037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82038,A82038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82039,A82039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82060,A82040,01/04/2013,01/08/2018,01/04/2013,01/07/2016
A82041,A82041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82044,A82044,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82045,A82045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82046,A82046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82047,A82047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82048,A82048,01/04/2013,01/03/2021,01/04/2013,01/03/2021
A82049,A82049,01/04/2013,01/02/2021,01/04/2013,01/02/2021
A82050,A82050,01/04/2013,01/03/2021,01/04/2013,01/03/2021
A82016,A82052,01/04/2013,01/04/2022,01/04/2013,01/10/2016
A82053,A82053,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82055,A82055,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82021,A82057,01/04/2013,01/04/2022,01/04/2013,01/07/2016
A82058,A82058,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82060,A82060,01/04/2013,01/08/2018,01/04/2013,01/08/2018
A82062,A82062,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82028,A82063,01/04/2013,01/04/2022,01/04/2013,01/06/2017
A82064,A82064,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82065,A82065,01/04/2013,01/10/2020,01/04/2013,01/10/2020
A82068,A82068,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82070,A82070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82071,A82071,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82072,A82072,01/04/2013,01/04/2022,01/04/2013,01/04/2022
P81029,A82074,01/04/2013,01/04/2022,01/04/2013,01/05/2018
A82075,A82075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82077,A82077,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82608,A82608,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82613,A82613,01/11/2017,01/04/2022,01/11/2017,01/04/2022
A82617,A82617,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82619,A82619,01/04/2013,01/07/2015,01/04/2013,01/07/2015
A82621,A82621,01/04/2013,01/06/2020,01/04/2013,01/06/2020
A82623,A82623,01/04/2013,01/02/2021,01/04/2013,01/02/2021
A82629,A82629,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82631,A82631,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82654,A82635,01/04/2013,01/04/2022,01/04/2013,01/10/2015
A82654,A82641,01/04/2013,01/04/2022,01/04/2013,01/10/2015
A82005,A82642,01/04/2013,01/04/2022,01/04/2013,01/04/2016
A82646,A82646,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82647,A82647,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82650,A82650,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82651,A82651,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A82654,A82654,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83001,A83001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83003,A83003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83004,A83004,01/04/2013,01/10/2019,01/04/2013,01/10/2019
A83005,A83005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83006,A83006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83007,A83007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83008,A83008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83009,A83009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83010,A83010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83011,A83011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83012,A83012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83013,A83013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83014,A83014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83015,A83015,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83016,A83016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83057,A83017,01/04/2013,01/04/2022,01/04/2013,01/05/2019
A83018,A83018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83616,A83019,01/04/2013,01/04/2022,01/04/2013,01/01/2019
A83020,A83020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83021,A83021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83022,A83022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83023,A83023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83024,A83024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83025,A83025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83026,A83026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83027,A83027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83028,A83028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83029,A83029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83030,A83030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83031,A83031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83032,A83032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83033,A83033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83034,A83034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83035,A83035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83036,A83036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83037,A83037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83038,A83038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83040,A83040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83041,A83041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83057,A83042,01/04/2013,01/04/2022,01/04/2013,01/10/2018
A83043,A83043,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83044,A83044,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83045,A83045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83046,A83046,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83047,A83047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83048,A83048,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83049,A83049,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83050,A83050,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83051,A83051,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83052,A83052,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83054,A83054,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83055,A83055,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83057,A83057,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83060,A83060,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83061,A83061,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83066,A83066,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83068,A83068,01/04/2013,01/07/2015,01/04/2013,01/07/2015
A83070,A83070,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83071,A83071,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83072,A83072,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83073,A83073,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83074,A83074,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83075,A83075,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83618,A83076,01/04/2013,01/04/2022,01/04/2013,01/07/2018
A83603,A83603,01/04/2013,01/02/2020,01/04/2013,01/02/2020
A83610,A83610,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83616,A83616,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83617,A83617,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83618,A83618,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83619,A83619,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83622,A83622,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83626,A83626,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83627,A83627,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83630,A83630,01/04/2013,01/10/2020,01/04/2013,01/10/2020
A83632,A83632,01/04/2013,01/12/2020,01/04/2013,01/12/2020
A83634,A83634,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83635,A83635,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83636,A83636,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83637,A83637,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83066,A83638,01/04/2013,01/04/2022,01/04/2013,01/10/2016
A83641,A83641,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A83644,A83644,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84002,A84002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84003,A84003,01/04/2013,01/01/2021,01/04/2013,01/01/2021
A84005,A84005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84006,A84006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84007,A84007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84008,A84008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84009,A84009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84011,A84011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84013,A84013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84014,A84014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84015,A84015,01/04/2013,01/07/2020,01/04/2013,01/07/2020
A84016,A84016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84018,A84018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84020,A84020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84006,A84021,01/04/2013,01/04/2022,01/04/2013,01/12/2017
A84022,A84022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84024,A84024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84025,A84025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84026,A84026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84027,A84027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84028,A84028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84029,A84029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84030,A84030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84031,A84031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84032,A84032,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84033,A84033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84034,A84034,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84035,A84035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84036,A84036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84037,A84037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84038,A84038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84039,A84039,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84040,A84040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84042,A84042,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84043,A84043,01/04/2013,01/01/2021,01/04/2013,01/01/2021
A84044,A84044,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84045,A84045,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84047,A84047,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84009,A84048,01/04/2013,01/04/2022,01/04/2013,01/04/2017
A84604,A84604,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84609,A84609,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84614,A84614,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A84045,A84618,01/04/2013,01/04/2022,01/04/2013,01/04/2014
A84619,A84619,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85001,A85001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85002,A85002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85003,A85003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85004,A85004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85005,A85005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85006,A85006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85007,A85007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85008,A85008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85009,A85009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85010,A85010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85011,A85011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85012,A85012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85013,A85013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85014,A85014,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85016,A85015,01/04/2013,01/04/2022,01/04/2013,01/10/2014
A85016,A85016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85017,A85017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85018,A85018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85019,A85019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85020,A85020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85021,A85021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85023,A85023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85024,A85024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85005,A85025,01/04/2013,01/04/2022,01/04/2013,01/10/2013
A85026,A85026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85008,A85601,01/04/2013,01/04/2022,01/04/2013,01/04/2013
A85616,A85605,01/04/2013,01/04/2022,01/04/2013,01/09/2017
A85609,A85609,01/04/2013,01/02/2020,01/04/2013,01/02/2020
A85611,A85611,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85614,A85614,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85616,A85616,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85617,A85617,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A85620,A85620,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86003,A86003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86004,A86004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86005,A86005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86006,A86006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86007,A86007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86008,A86008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86029,A86009,01/04/2013,01/04/2022,01/04/2013,01/10/2016
A86010,A86010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86011,A86011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86012,A86012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86013,A86013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86020,A86015,01/04/2013,01/04/2022,01/04/2013,01/04/2019
A86016,A86016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86017,A86017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86018,A86018,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86020,A86020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86021,A86021,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86022,A86022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86023,A86023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86024,A86024,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86025,A86025,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86026,A86026,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86027,A86027,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86028,A86028,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86029,A86029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86030,A86030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86031,A86031,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86033,A86033,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86035,A86035,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86036,A86036,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86037,A86037,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86038,A86038,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86040,A86040,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86041,A86041,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A86601,A86601,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87002,A87002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87003,A87003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87004,A87004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87005,A87005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87006,A87006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87007,A87007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87008,A87008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87009,A87009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87011,A87011,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87012,A87012,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87013,A87013,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87014,A87014,01/04/2013,01/04/2018,01/04/2013,01/04/2018
A87015,A87015,01/04/2013,01/06/2020,01/04/2013,01/06/2020
A87016,A87016,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87017,A87017,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87019,A87019,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87020,A87020,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87022,A87022,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87023,A87023,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87007,A87027,01/04/2013,01/04/2022,01/04/2013,01/07/2019
A87029,A87029,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87030,A87030,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87600,A87600,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87612,A87612,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A87615,A87615,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88001,A88001,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88002,A88002,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88003,A88003,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88004,A88004,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88005,A88005,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88006,A88006,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88007,A88007,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88008,A88008,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88009,A88009,01/04/2013,01/04/2022,01/04/2013,01/04/2022
A88010,A88010,01/04/2013,01/04/2022,01/04/2013,01/04/2022
