"Practice.Code","Year_Closure","Year","NHS.England..Region..code","NHS.England..Region..Name","CCG.Code","CCG.NAME","Practice.Name","Practice.Address","Practice.Postcode","Practice.Open.Date","Practice.Close.Date","Contract.Type","Dispensing.Practice","Quarter.used.for.patient.data","Number.of.Registered.Patients..Last.Known.Figure.","Number.of.Weighted.Patients..Last.Known.Figure.","Average.payments.per.registered.patient","Average.payments.per.weighted.patient","Global.Sum","MPIG.Correction.factor","Premises.Payments","Seniority","Doctors.Retainer.Scheme.Payments","Total.Locum.Allowances","Prolonged.Study.Leave","Appraisal.Costs","PCO.Admin.Other","Total.QOF.Payments","Alcohol","Childhood.Vaccination.and.Immunisation.Scheme","GP.Extended.Hours.Access","Facilitating.Timely.Diagnosis.and.Support.for.People.with.Dementia","Improving.Patient.Online.Access","Influenza.and.Pneumococcal.Immunisations","Learning.Disabilities","Minor.Surgery","Patient.Participation","Remote.Care.Monitoring","Risk.Profiling.and.Case.Management","Rotavirus.and.Shingles.Immunisation","Services.for.Violent.Patients","Unplanned.Admissions","Total.National.Enhanced.Services","Total.Local.Enhanced.Services","Information.Management.and.Technology","Balance.of.PMS.Expenditure","Non.DES.Item.Pneumococcal.Vaccine..Childhood.Immunisation.Main.Programme","Prescribing.Fee.Payments","Dispensing.Fee.Payments","Reimbursement.of.Drugs","Other.Payments","Total.NHS.Payments.to.General.Practice","Deductions.for.Pensions..Levies.and.Prescription.Charge.Income","Total.NHS.Payments.to.General.Practice.Minus.Deductions","Out.Of.Area.in.Hours.Urgent.Care","Meningitis","LocalEnhancedServices_NHAIS_","LocalEnhancedServices_ISFE_","General.Practice.Forward.View","Pertussis","Total.Local.Incentive.Schemes","PCN.Name","PCN.Participation","PCN.Leadership","PCN.Support","PCN.Extended.Hours.Access","PCN.Workforce","PCN.Investment.and.impact.Fund","PCN.Care.Home.Premium","Covid.Immunisation","Covid.Support.and.Expansion","Average.payments.per.registered.patient.including.PCN.Workforce..Leadership.and.Support","Average.payments.per.weighted.patient.including.PCN.Workforce..Leadership.and.Support","Average.payments.per.registered.patient.including.covid.vaccination.and.covid.support.and.expansion.payments","Average.payments.per.weighted.patient.including.covid.vaccination.and.covid.support.and.expansion.payments","Total.COVID.Payments","Total.PCN.Payments","Medical.Assessment.Reviews","Weight.Management.Service","General.Practice.Transformation","winter.Access.Fund","Long.Covid","Average.payments.per.registered.patient.including.covid.vaccination..covid.support.and.long.covid.payments","Average.payments.per.weighted.patient.including.covid.vaccination..covid.support.and.long.covid.payments","Sub.ICB.NAME","Local.Incentive.Schemes","Appraisal...Appraiser.Costs.in.Respect.of.Locums","PCN.Enhanced.Access","ICB.NAME","Practice.Type","Practice.Rurality","Atypical.Characteristics","PCN.Code","Total.Global.Sum","Total.IT.Premises","Total.PCO","Total.Contracted.Services","Total.Prescribing","Total.COVID","IMD","IMD_quintile"
"A82060",2019,2018,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS NORTH CUMBRIA CCG","WHITEHAVEN MEDICAL CENTRE","CATHERINE STREET WHITEHAVEN CUMBRIA  ","CA28 7PA","01/04/1999","","GMS","Yes","Q4",4304,4952.79,180.56,156.91,405894.63,8597.16,41537.09,947.44,0,0,0,0,0,66346.63,NA,7206.62,7014.8,0,NA,8849.4,1860,29509.59,NA,NA,NA,1019.2,0,3427.27,NA,32511.67,0,0,345.46,0,36742.66,117017,4673.97,777124.09,-34141.77,742982.32,0,1342.6,NA,NA,2153.5,127.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","",NA,414491.79,41537.09,7774.91,93214.01,153759.66,0,27.2172201025,4
"A82060",2019,2019,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS NORTH CUMBRIA CCG","WHITEHAVEN MEDICAL CENTRE","CATHERINE STREET WHITEHAVEN CUMBRIA  ","CA28 7PA","01/04/1999"," ","GMS","Yes",NA,2110.5,2414.46,186.22,162.77,135239.45,1910.48,36333.21,198.99,0,22579.02,0,0,0,51083.86,NA,2415.08,2044.4,NA,NA,176.4,1260,4799.8,NA,NA,NA,258.96,0,NA,NA,NA,0,0,315.42,0,11697.87,28520.47,77821.05,393011.54,-11898.81,381112.73,0,359.04,NA,NA,861.4,78.4,15058.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","| Large fluctuation in patients |",NA,137149.93,36333.21,101460.46,26765.74,40218.34,0,26.741625,4
"A82060",2019,2015,"Q49","Cumbria, Northumberland, Tyne and Wear","01H","Cumbria","Whitehaven Medical Centre","Catherine Street Whitehaven Cumbria  ","CA287PA","-","-","GMS","Yes","Q2",1818,2123,201.44,172.54,148051,17194,27269,1019,0,0,0,0,0,32530,0,160,2828,680,0,4041,232,10182,0,200,1436,336,0,3952,0,1767,0,0,165,0,26964,87218,0,366225,-4017,362208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,165245,27269,1019,25979,114182,0,28.64400541,4
"A82060",2019,2020,"Y63","NORTH EAST AND YORKSHIRE COMMISSIONING REGION","01H","NHS NORTH CUMBRIA CCG","WHITEHAVEN MEDICAL CENTRE","WHITEHAVEN MEDICAL CENTRE CATHERINE STREET WHITEHAVEN CUMBRIA ","CA28 7PA","01/04/1974","30/11/2019","UNKNOWN","UNKNOWN",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,605,605,0,605,0,0,NA,NA,0,0,0,"Unknown or no PCN",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","| Part year of data || No registered patients |","Unknown or no PCN",0,0,605,0,0,0,26.741625,4
"A82060",2019,2016,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS CUMBRIA CCG","Whitehaven Medical Centre","Catherine Street Whitehaven Cumbria  ","CA287PA","","","GMS","Yes","Q2",1810,2108.544365,215.01,184.56,153404.55,14328.6,32221.2,1006.53,0,0,0,0,0,28596.75,0,1573.39,0,0,0,3300.48,0,12779.71,661.67,0,0,198.64,0,1917.48,0,10313.22,0,0,75.1,0,30779.42,97915.94,0,389160.52,-4765.99,384394.53,0,87.84,272.39,10040.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,167733.15,32221.2,1006.53,30907.53,128695.36,0,28.1684103075,4
"A82060",2019,2017,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS CUMBRIA CCG","WHITEHAVEN MEDICAL CENTRE","CATHERINE STREET WHITEHAVEN CUMBRIA  ","CA28 7PA","01/04/1999","","GMS","Yes","Q4",4336,5038,158.59,136.5,316622.59,11462.88,41847.31,982.41,0,0,0,0,5900,52197.46,NA,2574.21,2644.8,251.62,NA,8055.92,0,24659.01,NA,NA,NA,536.84,0,8733.41,124.99,44873.07,0,0,435.58,0,37241.5,125378.76,2289.96,687662.48,-24194.26,663468.22,0,850.16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","| Large increase in patient numbers |",NA,328085.47,41847.31,9172.37,93739.61,162620.26,0,27.692815205,4
"A82619",2015,2015,"Q49","Cumbria, Northumberland, Tyne and Wear","01H","Cumbria","Dr C E Amos","Nelson Street Surgery 18 Nelson Street Dalton In Furness Cumbria ","LA158AF","-","-","GMS","No","Q2",1642,1779,115.47,106.56,123702,8282,9314,6827,0,0,0,0,0,25768,0,1325,0,608,0,3766,320,521,0,174,0,420,0,3535,0,327,0,0,210,1002,0,3495,0,189598,-18470,171127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,131984,9314,6827,11206,4497,0,19.90946777,3
"A82619",2015,2016,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS CUMBRIA CCG","Dr C E Amos","Nelson Street Surgery 18 Nelson Street Dalton In Furness Cumbria ","LA158AF","","16/11/2015","GMS","No","Q2",1624,1764.965385,58.45,53.78,63344.91,3450.84,4546.5,3485.1,0,0,0,0,0,13307.5,0,560.34,0,0,0,53.48,116,427.6,0,0,0,45.84,0,1183.97,0,3107.55,0,0,90.12,265.86,0,938.5,0,94924.11,-5659.74,89264.37,0,0,820.13,2287.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,66795.75,4546.5,3485.1,5584.9,1204.36,0,19.90946777,3
"A82621",2020,2020,"Y62","NORTH WEST COMMISSIONING REGION","01K","NHS MORECAMBE BAY CCG","DR P R JAIN","THE SURGERY 2 PARKLANDS DRIVE ASKAM IN FURNESS CUMBRIA ","LA16 7JP","01/01/2003","","GMS","Yes",NA,1584.25,1857.93,384.39,327.77,159810.54,0,21762.15,2889.9,0,126880.1,0,0,1427,18843.21,NA,1500.51,763.8,NA,NA,245,0,2470.16,NA,NA,NA,140.84,0,NA,NA,NA,0,0,40.55,0,69860.47,187623.74,0,608968.35,-9592.72,599375.63,0,160.96,NA,NA,0,39.98,11194.08,"MID FURNESS PCN",3315.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lancashire and South Cumbria","GP practice","Rural","","U25520",159810.54,21762.15,134512.36,16555.88,257484.21,0,19.13919477,3
"A82621",2020,2015,"Q49","Cumbria, Northumberland, Tyne and Wear","01H","Cumbria","Dr P R Jain","The Surgery 2 Parklands Drive Askam In Furness Cumbria ","LA167JP","-","-","GMS","Yes","Q2",1594,1823,301.12,263.29,128033,0,21000,6564,0,0,0,0,0,22892,0,2195,791,810,0,3273,0,1244,0,0,0,397,0,2970,0,3396,0,0,165,0,74723,211532,0,479985,-9673,470311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,128033,21000,6564,15241,286255,0,18.53849516,2
"A82621",2020,2021,"Y62","NORTH WEST COMMISSIONING REGION","01K","NHS MORECAMBE BAY CCG","ASKAM SURGERY","THE SURGERY 2 PARKLANDS DRIVE ASKAM-IN-FURNESS CUMBRIA ","LA16 7JP","01/01/2003","30/06/2020","GMS","Yes",NA,1277,1416.97,230.3,207.55,31745.61,0,7347,0,0,72695.24,0,0,1388,3989.19,NA,512.96,0,NA,NA,150.9,140,44.11,NA,NA,NA,291.74,0,NA,NA,NA,0,0,0,0,17231.97,34083.72,0,296872.56,-2321.34,299193.9,0,181.08,NA,NA,14000,40.24,109460.92,"MID FURNESS PCN",793.23,0,0,0,0,0,0,0,2776.65,230.3,207.55,232.48,209.51,2776.65000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lancashire and South Cumbria","GP practice","Rural","| Part year of data || Large fluctuation in patients |","U25520",31745.61,7347,88876.47,110821.95,51315.69,2776.65,19.13919477,3
"A82621",2020,2019,"Q84","NHS ENGLAND NORTH (LANCASHIRE AND SOUTH CUMBRIA)","01K","NHS MORECAMBE BAY CCG","DR P R JAIN","THE SURGERY 2 PARKLANDS DRIVE ASKAM IN FURNESS CUMBRIA ","LA16 7JP","01/01/2003"," ","GMS","Yes",NA,1621.75,1897.23,339.62,290.3,161426.41,0,21801.04,3926.45,0,0,0,0,5275,21066.05,NA,2423.38,3072,NA,NA,8645.52,420,4587.44,NA,NA,NA,872.54,0,NA,NA,NA,0,0,60.08,0,87080.36,213705.91,1934,550774.54,-10454.9,540319.64,0,514.8,NA,NA,0,117.6,13845.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lancashire and South Cumbria","GP practice","Rural","",NA,161426.41,21801.04,11135.45,34559.32,300786.27,0,19.13919477,3
"A82621",2020,2018,"Q84","NHS ENGLAND NORTH (LANCASHIRE AND SOUTH CUMBRIA)","01K","NHS MORECAMBE BAY CCG","DR P R JAIN","THE SURGERY 2 PARKLANDS DRIVE ASKAM IN FURNESS CUMBRIA ","LA16 7JP","01/01/2003","","GMS","Yes","Q4",1616,1887.52,336.08,287.74,155495.01,0,27571.91,4716.14,0,0,0,0,0,19815.2,NA,1607.48,3901.67,0,NA,9.8,116,2955.37,NA,NA,NA,127.4,0,0,NA,11282.08,0,0,210.28,0,86675.93,226600.32,1894.23,543106.22,-9204.04,533902.18,0,117.6,NA,NA,0,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lancashire and South Cumbria","GP practice","Rural","",NA,155495.01,27571.91,6610.37,20337.48,313276.25,0,18.9890198675,3
"A82621",2020,2016,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS CUMBRIA CCG","Dr P R Jain","The Surgery 2 Parklands Drive Askam In Furness Cumbria ","LA167JP","","","GMS","Yes","Q2",1594,1838.38101,325.04,281.83,135957,0,27970.26,5971.21,0,0,0,0,0,19609.91,0,2355.36,2262.9,3985.62,0,6998.24,0,3497.66,0,0,0,519.52,0,4947.77,38.35,8525.39,0,0,45.06,0,74914.51,220341.19,0,518113.51,-9870.89,508242.62,0,173.56,4504.2,4021.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria",NA,NA,NA,NA,135957,27970.26,5971.21,33349.43,295255.7,0,18.6886700625,3
"A82621",2020,2017,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","01H","NHS CUMBRIA CCG","DR P R JAIN","THE SURGERY 2 PARKLANDS DRIVE ASKAM IN FURNESS CUMBRIA ","LA16 7JP","01/01/2003","","GMS","Yes","Q4",1639,1924.43,330.07,281.12,149143.8,0,27863.64,5329.7,0,1383.24,0,0,4306,23566.92,NA,2017.58,3111.25,2159.54,NA,4688.04,348,4151.13,NA,NA,NA,530.36,0,2496.34,383.11,7043.83,0,0,75.1,0,83060.91,219218.97,897.79,540988.41,-10347.44,530640.97,0,519.16,NA,NA,-1306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Rural","",NA,149143.8,27863.64,10610.73,27523.44,302279.88,0,18.838844965,3
"A83004",2019,2017,"Q74","NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST)","00D","NHS DURHAM DALES, EASINGTON AND SEDGEFIELD CCG","AVENUE FAMILY PRATICE","DENESIDE MEDICAL CENTRE THE AVENUE DENESIDE SEAHAM COUNTY DURHAM","SR7  8LF","01/12/1992","","PMS","No","Q4",3803,4341.28,164.09,143.75,0,0,62561.54,0,0,0,0,0,0,51229.47,NA,6072.94,7093.18,2138.73,NA,6916.64,1972,13718.21,NA,NA,NA,796.12,0,10710.49,356.21,4521.97,0,329337.19,255.34,2183.06,0,7219.64,115043.89,624044.7,-90768.3,533276.4,0,1918.08,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North East and North Cumbria","GP practice","Urban","",NA,329337.19,62561.54,115043.89,56469.91,9402.7,0,32.024668955,4
