"Practice.Code","Year","location_name","service_population_group","domain","latest_rating","inherited_rating_y_n","IMD","IMD_quintile","ICB_NAME"
"A81612",2016,"Seaton Surgery","Overall","Overall","Good","N",22.39600624,3,"North East and North Cumbria"
"A81618",2016,"Huntcliff Surgery","Overall","Overall","Good","N",21.2410464025,3,"North East and North Cumbria"
"A81621",2015,"Thorntree Surgery","Overall","Overall","Good","N",65.56865103,5,"North East and North Cumbria"
"A81622",2016,"Gladstone House Surgery","Overall","Overall","Good","N",38.3492399925,5,"North East and North Cumbria"
"A81629",2016,"Riverside Medical Practice","Overall","Overall","Good","N",36.7601739825,5,"North East and North Cumbria"
"A81631",2017,"Dr Abbas Awad, Dr Bose Mohan, Dr Fazal Omer","Overall","Overall","Good","N",34.75193388,5,"North East and North Cumbria"
"A81634",2023,"The Arrival Practice","Overall","Overall","Good","N",59.15179074,5,"North East and North Cumbria"
"A82003",2018,"Dr G R Murray and Partners","Overall","Overall","Good","N",14.814189915,2,"North East and North Cumbria"
"A82004",2016,"Alston Medical Practice","Overall","Overall","Outstanding","Y",19.320027085,3,"North East and North Cumbria"
"A82005",2019,"Central Lakes Medical Group","Overall","Overall","Good","Y",12.58326118,1,"North East and North Cumbria"
"A82006",2019,"Appleby Medical Practice","Overall","Overall","Good","N",15.88497829,2,"North East and North Cumbria"
"A82007",2016,"Duke Street Surgery","Overall","Overall","Good","N",35.4924165175,5,"North East and North Cumbria"
"A82008",2016,"Norwood Medical Centre","Overall","Overall","Outstanding","N",32.050528235,5,"North East and North Cumbria"
"A82009",2018,"Bridgegate Medical Centre","Overall","Overall","Good","N",33.6554369625,5,"North East and North Cumbria"
"A82010",2023,"Abbey Road Surgery","Overall","Overall","Good","N",26.73957171,4,"North East and North Cumbria"
"A82012",2023,"Brampton Medical Practice","Overall","Overall","Good","N",14.18831259,1,"North East and North Cumbria"
"A82013",2023,"Upper Eden Medical Practice","Overall","Overall","Good","N",20.56862815,2,"North East and North Cumbria"
"A82014",2018,"Caldbeck Surgery","Overall","Overall","Outstanding","N",17.22269045,2,"North East and North Cumbria"
"A82015",2018,"Warwick Road Surgery","Overall","Overall","Good","N",28.1719706025,4,"North East and North Cumbria"
"A82016",2019,"St Pauls Practice","Overall","Overall","Good","N",22.7083934,3,"North East and North Cumbria"
"A82018",2016,"Spencer Street Surgery","Overall","Overall","Good","N",24.07127854,4,"North East and North Cumbria"
"A82020",2023,"Eden Medical Group","Overall","Overall","Good","N",24.62371007,3,"North East and North Cumbria"
"A82021",2023,"Castlegate & Derwent Surgery","Overall","Overall","Requires improvement","N",13.41072608,1,"North East and North Cumbria"
"A82022",2018,"Dalston Medical Group","Overall","Overall","Good","N",15.063342565,2,"North East and North Cumbria"
"A82023",2017,"Distington Surgery","Overall","Overall","Outstanding","N",24.57237142,4,"North East and North Cumbria"
"A82024",2022,"Seascale Health Centre","Overall","Overall","Good","N",14.46701636,2,"North East and North Cumbria"
"A82025",2016,"Captain French Surgery","Overall","Overall","Good","N",13.626738295,2,"North East and North Cumbria"
"A82026",2018,"The James Cochrane Practice","Overall","Overall","Good","N",12.32356551,1,"North East and North Cumbria"
"A82027",2016,"Station House Surgery","Overall","Overall","Good","N",12.749617795,2,"North East and North Cumbria"
"A82028",2018,"Castlehead Medical Centre","Overall","Overall","Good","N",12.3718685775,1,"North East and North Cumbria"
"A82029",2023,"The Croft Surgery","Overall","Overall","Good","N",18.70936406,2,"North East and North Cumbria"
"A82030",2016,"Lunesdale Surgery","Overall","Overall","Good","N",11.0437102825,1,"North East and North Cumbria"
"A82031",2019,"Shap Medical Practice","Overall","Overall","Good","N",15.69705813,2,"North East and North Cumbria"
"A82032",2019,"Maryport Group Practice","Overall","Overall","Outstanding","N",30.21792119,4,"North East and North Cumbria"
"A82035",2018,"Birbeck Medical Group","Overall","Overall","Good","N",14.725909015,2,"North East and North Cumbria"
"A82036",2018,"The Lakes Medical Practice","Overall","Overall","Outstanding","N",14.786531065,2,"North East and North Cumbria"
"A82037",2022,"Silloth Group Medical Practice","Overall","Overall","Good","N",24.4071086,3,"North East and North Cumbria"
"A82038",2019,"Temple Sowerby Medical Practice","Overall","Overall","Good","N",15.89251872,2,"North East and North Cumbria"
"A82039",2016,"Market Street Medical Practice","Overall","Overall","Good","N",18.88606845,3,"North East and North Cumbria"
"A82041",2024,"Lowther Medical Centre","Overall","Overall","Good","N",27.70845082,3,"North East and North Cumbria"
"A82044",2022,"Fellview Healthcare","Overall","Overall","Good","N",25.9900761,3,"North East and North Cumbria"
"A82045",2018,"Wigton Group Medical Practice","Overall","Overall","Good","N",18.95506914,2,"North East and North Cumbria"
"A82046",2023,"Windermere and Bowness Medical Practice","Overall","Overall","Good","N",12.30606465,1,"North East and North Cumbria"
"A82047",2023,"James Street Group Practice","Overall","Overall","Good","N",30.40453598,4,"North East and North Cumbria"
"A82053",2016,"Nutwood Medical Practice","Overall","Overall","Outstanding","N",11.41553174,2,"North East and North Cumbria"
"A82055",2019,"Aspatria Medical Group","Overall","Overall","Good","N",22.23774092,3,"North East and North Cumbria"
"A82062",2024,"Atkinson Health Centre Practice","Overall","Overall","Good","N",37.81485085,5,"North East and North Cumbria"
"A82064",2019,"Westcroft House Surgery","Overall","Overall","Good","N",21.94888961,3,"North East and North Cumbria"
"A82068",2017,"Hoad Medical Practice","Overall","Overall","Good","N",15.75218751,2,"North East and North Cumbria"
"A82070",2016,"Dr Roberts, Mr Eddy, Dr Stonehouse, Dr O'Sullivan, Dr Melhuish & Dr Hughes","Overall","Overall","Good","N",11.97769442,2,"North East and North Cumbria"
"A82071",2020,"Burnett Edgar Medical Centre","Overall","Overall","Good","N",27.72602744,4,"North East and North Cumbria"
"A82072",2023,"Risedale Surgery","Overall","Overall","Good","N",33.63027951,4,"North East and North Cumbria"
"A82075",2015,"Mansion House Surgery","Overall","Overall","Good","N",28.0624211,4,"North East and North Cumbria"
"A82077",2018,"Liverpool House Surgery","Overall","Overall","Good","N",31.033111925,4,"North East and North Cumbria"
"A82608",2016,"Sedbergh Medical Practice","Overall","Overall","Good","N",14.406505215,2,"North East and North Cumbria"
"A82613",2021,"Coniston Medical Practice","Overall","Overall","Good","N",13.93758949,1,"North East and North Cumbria"
"A82617",2019,"Kirkoswald Surgery","Overall","Overall","Outstanding","N",14.24110852,2,"North East and North Cumbria"
"A82620",2017,"Glenridding Health Centre","Overall","Overall","Outstanding","N",16.74955033,2,"North East and North Cumbria"
"A82629",2016,"The Family Practice","Overall","Overall","Good","N",38.7583048125,5,"North East and North Cumbria"
"A82631",2016,"Court Thorn Surgery","Overall","Overall","Outstanding","N",14.8554488025,2,"North East and North Cumbria"
"A82646",2016,"Longtown Medical Centre","Overall","Overall","Good","N",30.0568205475,4,"North East and North Cumbria"
"A82647",2022,"Cartmel Surgery","Overall","Overall","Outstanding","N",11.54849889,1,"North East and North Cumbria"
"A82650",2016,"Haverthwaite Surgery","Overall","Overall","Good","Y",16.2693296525,3,"North East and North Cumbria"
"A82651",2017,"The Surgery Kirkby-in-Furness","Overall","Overall","Good","N",13.974455565,2,"North East and North Cumbria"
"A82654",2022,"Warwick Square Group Practice","Overall","Overall","Good","N",24.94389465,3,"North East and North Cumbria"
"A83001",2020,"St. Andrew's Medical Practice","Overall","Overall","Good","N",26.4540396,4,"North East and North Cumbria"
"A83003",2016,"Willington Medical Group","Overall","Overall","Good","N",32.1836163175,5,"North East and North Cumbria"
"A83005",2019,"Whinfield Medical Practice","Overall","Overall","Good","N",25.95837375,4,"North East and North Cumbria"
"A83006",2015,"Drs Charlton, Russell, Stevens & Stone","Overall","Overall","Outstanding","N",24.75371651,4,"North East and North Cumbria"
"A83007",2017,"Blackhall & Peterlee Practice","Overall","Overall","Good","N",38.838191335,5,"North East and North Cumbria"
"A83008",2018,"Hallgarth Surgery","Overall","Overall","Good","N",42.4554355575,5,"North East and North Cumbria"
"A83009",2016,"Bridge End Surgery","Overall","Overall","Good","N",19.23639761,3,"North East and North Cumbria"
"A83010",2019,"Moorlands Surgery","Overall","Overall","Good","N",22.69267617,3,"North East and North Cumbria"
"A83011",2016,"Claypath and University Medical Group","Overall","Overall","Good","N",11.4483119375,2,"North East and North Cumbria"
"A83012",2017,"Easington & Peterlee Medical Practice","Overall","Overall","Good","N",37.95185723,5,"North East and North Cumbria"
"A83013",2020,"Neasham Road Surgery","Overall","Overall","Good","N",34.0324891,5,"North East and North Cumbria"
"A83014",2018,"Belmont & Sherburn Medical Group","Overall","Overall","Good","N",18.121696295,2,"North East and North Cumbria"
"A83015",2016,"Station View Medical Centre","Overall","Overall","Good","N",32.005744485,5,"North East and North Cumbria"
"A83016",2016,"Tanfield View Medical Group","Overall","Overall","Good","N",31.117336625,5,"North East and North Cumbria"
"A83018",2023,"Consett Medical Centre","Overall","Overall","Requires improvement","N",22.67427875,3,"North East and North Cumbria"
"A83020",2018,"North House Surgery","Overall","Overall","Good","N",29.3956555625,4,"North East and North Cumbria"
"A83021",2018,"Auckland Medical Group","Overall","Overall","Good","N",31.89778327,4,"North East and North Cumbria"
"A83022",2016,"The Medical Group","Overall","Overall","Good","N",24.3978944525,4,"North East and North Cumbria"
"A83023",2017,"Stanley Medical Group - Clifford Road","Overall","Overall","Outstanding","N",33.140069075,5,"North East and North Cumbria"
"A83024",2016,"West Rainton Surgery","Overall","Overall","Good","N",25.3628007375,4,"North East and North Cumbria"
"A83025",2016,"Bishopgate Medical Centre","Overall","Overall","Good","N",35.8023127675,5,"North East and North Cumbria"
"A83026",2016,"Sacriston Medical Centre","Overall","Overall","Good","N",22.88862775,3,"North East and North Cumbria"
"A83027",2022,"Coxhoe Medical Practice","Overall","Overall","Good","N",19.01399048,2,"North East and North Cumbria"
"A83028",2016,"Middle Chare Medical Group","Overall","Overall","Good","N",19.2251647325,3,"North East and North Cumbria"
"A83029",2016,"The Surgery - Great Lumley","Overall","Overall","Outstanding","N",16.3876729225,3,"North East and North Cumbria"
"A83030",2016,"Dunelm Medical Practice","Overall","Overall","Good","N",21.2434178425,3,"North East and North Cumbria"
"A83031",2020,"Carmel Medical Practice","Overall","Overall","Good","N",17.36154685,2,"North East and North Cumbria"
"A83032",2017,"Woodview Medical Practice","Overall","Overall","Good","N",25.05474987,4,"North East and North Cumbria"
"A83033",2016,"The Surgery-Pelton","Overall","Overall","Good","N",24.9845023075,4,"North East and North Cumbria"
"A83034",2019,"Blacketts Medical Practice","Overall","Overall","Good","N",25.66136158,4,"North East and North Cumbria"
"A83035",2017,"The Weardale Practice","Overall","Overall","Good","N",18.505266685,3,"North East and North Cumbria"
"A83036",2016,"Chastleton Medical Group","Overall","Overall","Good","N",9.6760381655,1,"North East and North Cumbria"
"A83037",2019,"Bewick Crescent Surgery","Overall","Overall","Good","N",24.87895763,3,"North East and North Cumbria"
"A83038",2024,"Cedars Medical Group","Overall","Overall","Good","N",18.48689782,2,"North East and North Cumbria"
"A83040",2019,"Clifton Court Medical Practice","Overall","Overall","Good","N",33.81978039,4,"North East and North Cumbria"
"A83041",2017,"Murton Medical Group","Overall","Overall","Good","N",30.029629615,4,"North East and North Cumbria"
"A83043",2017,"Old Forge Surgery","Overall","Overall","Good","N",19.03207354,3,"North East and North Cumbria"
"A83044",2018,"Horden Group Practice","Overall","Overall","Good","N",42.78614516,5,"North East and North Cumbria"
"A83045",2017,"Ferryhill & Chilton Medical Practice","Overall","Overall","Good","N",33.3298054,5,"North East and North Cumbria"
"A83046",2016,"Barnard Castle Surgery","Overall","Overall","Good","N",14.88459031,2,"North East and North Cumbria"
"A83047",2016,"Denmark Street Surgery","Overall","Overall","Good","N",27.396701445,4,"North East and North Cumbria"
"A83048",2015,"Rockliffe Court Surgery","Overall","Overall","Good","N",12.61450036,2,"North East and North Cumbria"
"A83049",2016,"Queens Road Surgery","Overall","Overall","Good","N",19.86219136,3,"North East and North Cumbria"
"A83050",2017,"Cestria Health Centre","Overall","Overall","Outstanding","N",18.468523765,3,"North East and North Cumbria"
"A83051",2016,"Marlborough Surgery","Overall","Overall","Good","N",28.6293603975,4,"North East and North Cumbria"
"A83052",2019,"Bishop's Close Medical Practice","Overall","Overall","Good","N",27.06834726,4,"North East and North Cumbria"
"A83054",2018,"Skerne Medical Group","Overall","Overall","Good","N",20.398392195,3,"North East and North Cumbria"
"A83055",2019,"Cheveley Park Medical Centre","Overall","Overall","Outstanding","N",12.15742604,1,"North East and North Cumbria"
"A83057",2017,"East Durham Medical Group","Overall","Overall","Outstanding","N",43.388305725,5,"North East and North Cumbria"
"A83060",2016,"Pinfold Medical Practice","Overall","Overall","Good","N",20.667415715,3,"North East and North Cumbria"
"A83061",2018,"Gainford Surgery","Overall","Overall","Good","N",13.4570544175,2,"North East and North Cumbria"
"A83066",2023,"Jubilee Medical Group","Overall","Overall","Good","N",32.28503773,4,"North East and North Cumbria"
"A83070",2018,"St George's Medical Practice","Overall","Overall","Good","N",11.0875604575,1,"North East and North Cumbria"
"A83071",2023,"New Seaham Medical Group","Overall","Overall","Good","N",27.80800851,4,"North East and North Cumbria"
"A83072",2022,"Lanchester Medical Centre","Overall","Overall","Good","Y",13.6341306,1,"North East and North Cumbria"
"A83073",2016,"Dr Rachel Ng & partners","Overall","Overall","Good","N",32.592599475,5,"North East and North Cumbria"
"A83074",2016,"Peaseway Medical Centre","Overall","Overall","Good","N",28.0192841425,4,"North East and North Cumbria"
"A83075",2016,"Byron Medical Practice","Overall","Overall","Good","N",29.11373861,4,"North East and North Cumbria"
"A83610",2016,"Wingate Medical Practice","Overall","Overall","Good","N",32.61686873,5,"North East and North Cumbria"
"A83616",2019,"Bevan Medical Group Surgery","Overall","Overall","Good","N",39.57074182,5,"North East and North Cumbria"
"A83617",2017,"Browney House Surgery","Overall","Overall","Good","Y",20.742978845,3,"North East and North Cumbria"
"A83618",2020,"Oakfields Health Group","Overall","Overall","Good","N",24.4442419,3,"North East and North Cumbria"
"A83619",2022,"Southdene Medical Centre","Overall","Overall","Requires improvement","N",41.5638028,5,"North East and North Cumbria"
"A83622",2020,"Dr Rina Miah","Overall","Overall","Good","N",25.95400061,4,"North East and North Cumbria"
"A83626",2017,"Evenwood Medical Practice","Overall","Overall","Good","N",31.17338932,4,"North East and North Cumbria"
"A83627",2019,"Silverdale Family Practice","Overall","Overall","Outstanding","N",35.44039273,5,"North East and North Cumbria"
"A83634",2016,"West Cornforth Medical Practice","Overall","Overall","Good","N",38.5140663,5,"North East and North Cumbria"
"A83635",2023,"Bowburn Medical Centre","Overall","Overall","Good","N",20.12189781,2,"North East and North Cumbria"
"A83636",2016,"Leadgate Surgery","Overall","Overall","Good","N",24.3080595275,4,"North East and North Cumbria"
"A83637",2023,"Gardiner Crescent Surgery","Overall","Overall","Requires improvement","N",29.12166208,4,"North East and North Cumbria"
"A83641",2018,"Parkgate Medical Practice","Overall","Overall","Good","N",37.4330932475,5,"North East and North Cumbria"
"A83644",2016,"Annfield Plain Surgery","Overall","Overall","Good","N",32.8383857525,5,"North East and North Cumbria"
"A84002",2024,"Rothbury Practice","Overall","Overall","Good","N",16.63894949,2,"North East and North Cumbria"
"A84005",2016,"Bedlingtonshire Medical Group","Overall","Overall","Outstanding","N",21.4374323675,3,"North East and North Cumbria"
"A84006",2019,"Alnwick Medical Group","Overall","Overall","Good","N",15.01503338,2,"North East and North Cumbria"
"A84007",2019,"Ponteland Medical Group","Overall","Overall","Good","N",8.739824692,1,"North East and North Cumbria"
"A84008",2018,"Belford Medical Practice","Overall","Overall","Good","N",21.3380789575,3,"North East and North Cumbria"
"A84009",2023,"Gatacre Street Surgery","Overall","Overall","Good","N",36.93094062,5,"North East and North Cumbria"
"A84011",2016,"White Medical Group","Overall","Overall","Good","N",9.5135173135,1,"North East and North Cumbria"
"A84013",2016,"The Gables Medical Group","Overall","Overall","Good","N",29.2609786025,4,"North East and North Cumbria"
"A84014",2015,"Marine Medical Group","Overall","Overall","Good","N",29.37062665,4,"North East and North Cumbria"
"A84016",2018,"Prudhoe Medical Group","Overall","Overall","Outstanding","N",13.34829843,2,"North East and North Cumbria"
"A84018",2022,"Corbridge Medical Group","Overall","Overall","Good","N",10.34350745,1,"North East and North Cumbria"
"A84020",2016,"Guidepost Medical Group","Overall","Overall","Good","N",24.664382005,4,"North East and North Cumbria"
"A84022",2016,"Coquet Medical Group","Overall","Overall","Good","N",23.9264322325,4,"North East and North Cumbria"
"A84024",2015,"Burn Brae Medical Group","Overall","Overall","Outstanding","N",13.60460123,2,"North East and North Cumbria"
"A84025",2019,"Cramlington Medical Group","Overall","Overall","Good","N",24.94460944,3,"North East and North Cumbria"
"A84026",2018,"Well Close Medical Group","Overall","Overall","Good","N",21.637191895,3,"North East and North Cumbria"
"A84027",2019,"Bellingham Practice","Overall","Overall","Outstanding","N",17.86580214,2,"North East and North Cumbria"
"A84028",2018,"Seaton Park Medical Group","Overall","Overall","Good","N",32.4834552225,4,"North East and North Cumbria"
"A84029",2018,"Widdrington Surgery","Overall","Overall","Good","Y",19.3070488375,3,"North East and North Cumbria"
"A84030",2017,"Village Medical Group","Overall","Overall","Good","N",21.060564865,3,"North East and North Cumbria"
"A84031",2018,"Greystoke Surgery","Overall","Overall","Good","N",13.68241441,2,"North East and North Cumbria"
"A84032",2018,"Cheviot Medical Group","Overall","Overall","Good","N",19.561859845,3,"North East and North Cumbria"
"A84033",2020,"The Sele Medical Practice","Overall","Overall","Good","N",13.26878067,2,"North East and North Cumbria"
"A84034",2018,"Haltwhistle Medical Group","Overall","Overall","Good","N",20.04608072,3,"North East and North Cumbria"
"A84035",2017,"Riversdale Surgery","Overall","Overall","Good","N",11.881334855,1,"North East and North Cumbria"
"A84036",2023,"Valens Medical Partnership","Overall","Overall","Good","N",25.29260344,3,"North East and North Cumbria"
"A84037",2019,"Doctors Quayle, Rajagopal, Payne & Fox","Overall","Overall","Good","N",22.45095007,3,"North East and North Cumbria"
"A84038",2016,"Forum Family Practice","Overall","Overall","Good","N",20.6022718475,3,"North East and North Cumbria"
"A84039",2023,"Drs O'Neill, Evans & Lunn","Overall","Overall","Good","N",14.30328681,1,"North East and North Cumbria"
"A84040",2023,"Humshaugh and Wark Medical Group","Overall","Overall","Good","N",14.15747065,1,"North East and North Cumbria"
"A84042",2015,"Scots Gap Medical Group","Overall","Overall","Good","N",16.42296249,2,"North East and North Cumbria"
"A84044",2019,"Union Brae and Norham Practice","Overall","Overall","Good","N",22.61660533,3,"North East and North Cumbria"
"A84045",2019,"Haydon Bridge and Allendale Medical Group","Overall","Overall","Good","N",16.41040491,2,"North East and North Cumbria"
"A84047",2019,"Branch End Surgery","Overall","Overall","Good","N",10.10024463,1,"North East and North Cumbria"
"A84604",2022,"Glendale Surgery","Overall","Overall","Good","N",19.84537317,2,"North East and North Cumbria"
"A84614",2018,"The Adderlane Surgery","Overall","Overall","Good","N",15.8045134,2,"North East and North Cumbria"
"A84619",2021,"Elsdon Avenue Surgery","Overall","Overall","Good","N",20.65807135,2,"North East and North Cumbria"
"A85001",2017,"Fell Tower Medical Centre","Overall","Overall","Good","N",19.99157402,3,"North East and North Cumbria"
"A85002",2016,"Bensham Family Practice","Overall","Overall","Good","N",30.847726205,4,"North East and North Cumbria"
"A85004",2018,"Longrigg Medical Centre","Overall","Overall","Good","N",32.042229565,4,"North East and North Cumbria"
"A85005",2017,"Oxford Terrace & Rawling Road Medical Group","Overall","Overall","Good","N",33.82359144,5,"North East and North Cumbria"
"A85006",2022,"Glenpark Medical Practice","Overall","Overall","Good","N",25.5058145,3,"North East and North Cumbria"
"A85007",2016,"Fell Cottage Surgery","Overall","Overall","Good","N",19.2418846175,3,"North East and North Cumbria"
"A85008",2023,"Birtley Medical Group","Overall","Overall","Good","N",25.62410928,3,"North East and North Cumbria"
"A85009",2022,"Crowhall Medical Group","Overall","Overall","Good","Y",38.14332509,5,"North East and North Cumbria"
"A85010",2023,"Chainbridge Medical Partnership","Overall","Overall","Good","N",21.48743406,3,"North East and North Cumbria"
"A85011",2017,"St Albans Medical Group","Overall","Overall","Good","N",38.62318195,5,"North East and North Cumbria"
"A85013",2023,"Millennium Family Practice","Overall","Overall","Good","N",35.6601023,5,"North East and North Cumbria"
"A85014",2023,"Crawcrook Medical Centre","Overall","Overall","Requires improvement","N",14.5037643,1,"North East and North Cumbria"
"A85016",2017,"Dr Kaura and Partners","Overall","Overall","Good","N",34.97735483,5,"North East and North Cumbria"
"A85017",2016,"Bewick Road Surgery","Overall","Overall","Good","N",32.514022535,5,"North East and North Cumbria"
"A85018",2023,"Oldwell Surgery","Overall","Overall","Good","N",25.27564612,3,"North East and North Cumbria"
"A85019",2018,"Central Gateshead Medical Group","Overall","Overall","Good","N",36.19018318,5,"North East and North Cumbria"
"A85020",2018,"The Whickham Practice","Overall","Overall","Good","N",14.809571165,2,"North East and North Cumbria"
"A85021",2016,"Second Street Surgery","Overall","Overall","Good","Y",33.6290770125,5,"North East and North Cumbria"
"A85023",2019,"Teams Medical Practice","Overall","Overall","Outstanding","N",36.78639149,5,"North East and North Cumbria"
"A85024",2016,"Chopwell Primary Healthcare Centre","Overall","Overall","Good","N",31.4882268025,5,"North East and North Cumbria"
"A85026",2018,"Beacon View Medical Centre","Overall","Overall","Good","N",32.2064340425,4,"North East and North Cumbria"
"A85611",2016,"Pelaw Medical Practice","Overall","Overall","Good","N",22.5721096775,3,"North East and North Cumbria"
"A85614",2024,"Bridges Medical Practice","Overall","Overall","Good","N",35.43650084,5,"North East and North Cumbria"
